"parameter","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"alpha1",0.0950171154989066,0.117275363020791,-0.120576508273718,0.013626571986211,0.0931335258593544,0.176648578973415,0.317622118833787,1.03434490190989,76,1,0.783333333333333
"alpha2",-0.507093850319631,0.0521213903400218,-0.607912664158324,-0.543847852025354,-0.507376474100414,-0.470027446144758,-0.407208144853547,1.00656824303302,235,0,1
"alpha3",0.212229580883909,0.0392301747580135,0.135978457729614,0.185947743493836,0.212832074169754,0.238830227467898,0.287880008895571,1.00095725059659,1234,0,1
"alpha4",-0.258130026132094,0.0664714623387158,-0.387326599722068,-0.302962911785782,-0.25901409779121,-0.212564530785928,-0.127111920470261,1.0053655626654,297,0,1
"alpha5",10.0439374895151,0.0993266235252654,9.85156263690144,9.97582148344236,10.0455443639824,10.1114664875437,10.2413481927988,1.00067607936585,2705,0,1
"alpha6",5.22889369659693,0.259068446168145,4.73248430473905,5.05291818581555,5.22677353393979,5.40431907793647,5.7330093313575,1.00236522009415,3000,0,1
"beta1w",-0.00478556518370823,0.000333327025094497,-0.00538737456745171,-0.00504123560465975,-0.00477544718644207,-0.00453388243156182,-0.00417334758904746,1.06475610277634,44,0,1
"beta21",1.31659760199438,0.12775561882677,1.07574341452818,1.22818728927447,1.31353110674643,1.40575340206511,1.57256973315489,1.00130473279248,3000,0,1
"beta31",-0.873425318642225,0.155207118395758,-1.18188914247519,-0.978540365274095,-0.870633392544355,-0.764362054428847,-0.582653474233667,1.00340602689615,1404,0,1
"beta32",0.859267368477649,0.0769887735338992,0.714612141131042,0.806941482772046,0.857106513473053,0.909490791256033,1.0180214309249,1.00968559127369,3000,0,1
"beta41",0.564762870020073,0.181829999530953,0.213402840681407,0.439539084147395,0.564232858815911,0.690337569716319,0.916077559798966,1.06641754501394,28,0,0.999666666666667
"beta42",-0.487311545044818,0.0856595164050183,-0.652859800742259,-0.544758250802569,-0.486440104385767,-0.43036340849031,-0.317000018566339,1.00729588583999,209,0,1
"beta43",1.11570044427434,0.0819075438202323,0.957111369516652,1.06133285418347,1.11264479935952,1.17015131506373,1.27863421477775,1.00764286823429,538,0,1
"beta51",2.36493844173056,0.193438364114661,1.97610830071612,2.23826977612417,2.36524323616788,2.49310998816336,2.73838508143732,1.00809447630407,831,0,1
"beta52",-1.71253039683006,0.112440991678092,-1.92571289245039,-1.79053717913256,-1.71447993498854,-1.63977751787376,-1.49068293380595,1.00505855202992,331,0,1
"beta53",1.03657535333849,0.112529297242469,0.825598128947225,0.956969190122779,1.03783515358924,1.11329512303196,1.2595176645262,1.00207203621713,737,0,1
"beta54",-0.988585915417971,0.123410760176738,-1.23759148758433,-1.07430394257637,-0.986544680085612,-0.903984070399775,-0.754186301099642,1.0055626597027,266,0,1
"beta61",0.726655910879948,0.324322036965614,0.0831866785529621,0.510990567555083,0.722315087169349,0.942716695723411,1.37264125178542,1.00616660448817,239,0,0.985666666666667
"beta62",0.314711448020052,0.163699543736571,-0.00731647000019833,0.205038764411379,0.312728431989232,0.422942964481491,0.640083021818155,1.01212271872357,163,1,0.972666666666667
"beta63",-1.23581241445425,0.158731884662415,-1.53992010375052,-1.34343433398042,-1.23191352426979,-1.12830302430034,-0.931982055116611,1.0034823106544,418,0,1
"beta64",0.740308462631724,0.179706121653678,0.38982616257483,0.615576075295327,0.743674418497549,0.863139915598269,1.08416030623976,1.00155527211272,978,0,1
"beta65",0.502350247183361,0.0227427029434688,0.457566866500127,0.487276371878488,0.502378008436508,0.517271777682897,0.546327472229759,1.00073641252955,3000,0,1
"sigma5",3.01142652976918,0.0339947853725717,2.94535589276011,2.98798436427676,3.01213868311841,3.03445818734854,3.07795885086311,1.00046754564548,3000,0,1
"sigma6",3.99994181765431,0.0410832111518713,3.9212977013508,3.97117307208521,3.99916557149815,4.02722668932506,4.08225660937035,1.00522019332392,294,0,1
"tau5",0.110311675212269,0.00249170195918879,0.105553923536916,0.108601965393292,0.110217377424854,0.112006534152668,0.115272163032773,1.00053153114093,3000,0,1
"tau6",0.0625215649489549,0.00128225716798479,0.0600066522493972,0.061657774809744,0.062526084055893,0.0634106741120812,0.0650339855949628,1.00503591417257,296,0,1
"nr_int_1",-0.0985983780450403,0.132481607145585,-0.355952751266541,-0.183159003307951,-0.10117053171681,-0.0125770598652936,0.165502605034841,1.02449404048897,216,1,0.777
"nr_int_2",0.301067180797493,0.269171684576302,-0.28210810788946,0.13443862785866,0.318137000451832,0.481185095563305,0.800377597571733,1.00370256449689,383,1,0.871
"nr_int_3",-2.17755740799655,0.126933680686626,-2.4144902851714,-2.26545575667395,-2.18006369984143,-2.09342065814614,-1.93223676418497,1.02578490934674,2543,0,1
"nr_int_4",-1.58548895742468,0.106453371544806,-1.78094119911107,-1.66273355655328,-1.59493296115978,-1.50950567891821,-1.37615988537267,1.00756076214443,494,0,1
"nr_int_5",-2.0274029154966,0.125553489512793,-2.28291634201681,-2.11219473623222,-2.02442462321688,-1.94221988136732,-1.78842986574319,1.06422514892425,33,0,1
"nr_int_6",-2.45646249843294,0.11226009194798,-2.67932897529105,-2.53564363733069,-2.45822254713673,-2.38083371275518,-2.23769981606164,1.00568364346343,264,0,1
"T1_imputed_total",252771.26,10722.6489830081,231320,245605,252735,259977.5,274524,1.00390913758497,387,0,1
"T2_imputed_total",1359110.45,29737.5709892432,1304019.25,1338512.5,1358425,1380085,1415702.25,1.00619247737623,252,0,1
"T3_imputed_total",2076207.80666667,13501.0738037353,2048648.75,2067535,2076150,2085612.5,2103100.5,1.00123517366762,3000,0,1
"T4_imputed_total",1916904.54,23170.3599032848,1870187,1901170,1917040,1932487.5,1962985.5,0.999913910795263,3000,0,1
"T5_imputed_total",32483711.0761574,66797.4244542736,32351697.762227,32439505.694214,32483469.8605369,32526742.1047369,32617160.9976275,1.00196886988155,1234,0,1
"T6_imputed_total",33594955.6319561,127878.141094761,33345259.2056082,33507549.9959603,33596130.1616806,33678999.9450236,33853708.9413405,1.00108997766985,2172,0,1
"deviance",116673.707279829,133.759266341568,116403.771011991,116583.602671281,116677.020167179,116764.649168723,116927.591524019,1.00707234324946,210,0,1
