"parameter","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"alpha1",0.167755307424534,0.101693888087207,-0.0523675666841843,0.102225004818238,0.17810995833154,0.237520139864232,0.358123164400797,1.00450069360532,321,1,0.934
"alpha2",-0.528503064438554,0.0485513378349458,-0.625087047423089,-0.559732439255143,-0.528447671584384,-0.498601746256697,-0.428328657884205,1.22765347571069,11,0,1
"alpha3",0.142595487766976,0.0389261575175282,0.0681550780792323,0.117196035302837,0.142025002128231,0.168423734399021,0.219291016997073,1.00363824254627,395,0,0.999333333333333
"alpha4",-0.254403147384825,0.0645668671879202,-0.377665327418051,-0.298755528865279,-0.253847729510317,-0.209920995916448,-0.132340559720766,1.00206706162627,599,0,1
"alpha5",10.0020346627964,0.0901534934271355,9.82930814848938,9.9416101016364,10.0050169145821,10.0618534805919,10.1829946660297,1.02287083459057,84,0,1
"alpha6",5.07226496767317,0.253140267177815,4.58461485060519,4.89818841910219,5.07618081014498,5.24523909153033,5.5444207035441,1.00126950204211,1500,0,1
"beta1w",-0.00488610489969038,0.00028838399096795,-0.00538709137911646,-0.0051034414781802,-0.00490631599783557,-0.00467944373652966,-0.00429132783857903,1.0030172799636,456,0,1
"beta21",1.37396559135114,0.126640306755465,1.12070805819007,1.28675989215086,1.37737118992554,1.46137722532214,1.61408723766357,1.01663744628913,181,0,1
"beta31",-0.750978602818074,0.11978009506172,-0.976587415725289,-0.834255354313639,-0.75143217186186,-0.665611331882597,-0.512688813386972,1.00518354812843,277,0,1
"beta32",0.940346659494546,0.0718317828241021,0.801817763929048,0.889808663591706,0.940342343630562,0.987913763838532,1.08337054545556,1.01418032986804,1500,0,1
"beta41",0.426615904064532,0.170562362559863,0.0904931384878138,0.310975082892564,0.419440382027656,0.533891207783829,0.803992596098609,1.00183518761648,1500,0,0.999333333333333
"beta42",-0.43373791858854,0.0918201758952075,-0.615909996801741,-0.494643942352157,-0.430440000755514,-0.37364613458357,-0.25650021305699,1.01032599212968,265,0,1
