"parameter","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"alpha1",0.0402389293246782,0.107755432914536,-0.161448871692907,-0.0341799979198409,0.0400736244634781,0.111047335832301,0.258526166539617,1.09429030229,21,1,0.648
"alpha2",-0.447632698199026,0.0413431252094519,-0.529352589656262,-0.475082039779392,-0.448737679428036,-0.418630678242932,-0.365804735046239,1.05222076933027,40,0,1
"alpha3",0.122205274686477,0.0391823882907503,0.0460233389025981,0.0948883379831363,0.121960617908786,0.148826159782934,0.201172294052206,1.01614904560245,107,0,1
"alpha4",-0.225299938355683,0.0652273229663408,-0.35510313843026,-0.269325871215418,-0.226742137826188,-0.178699392753539,-0.103693364086239,0.999621282551334,1500,0,0.999333333333333
"alpha5",10.1439606088699,0.0982257240893199,9.9552261234549,10.0759404493536,10.1454128824796,10.2088327753755,10.3379904378634,1.00717062515659,1500,0,1
"alpha6",4.79461686344037,0.252931745276176,4.30533957298757,4.62589094962546,4.79833284564237,4.97044042089267,5.2913752527105,1.00184864651992,696,0,1
"beta1w",-0.00464509184934935,0.000265820098956123,-0.00517654251873417,-0.00482969560504818,-0.0046432203424454,-0.00448455860303009,-0.00409142392206399,1.06956287327598,28,0,1
"beta21",1.12802268955326,0.116318283524142,0.907256816225957,1.05044308713896,1.12279528234816,1.20950273615699,1.35996006290377,1.00647169829553,247,0,1
"beta31",-0.66301147773625,0.14195692220323,-0.924601194007767,-0.760918574081736,-0.662659556206128,-0.57266210516146,-0.357670008996402,1.0048958266866,278,0,1
"beta32",0.870205370728377,0.0715872914382005,0.737489946090381,0.820037541005781,0.868168878218178,0.917571934725885,1.01449274809104,1.01028686963066,1500,0,1
"beta41",0.639124689695865,0.171706868534648,0.295525252337201,0.525944830889557,0.636141002284315,0.755390389302377,0.988577971536788,1.0099851888021,1500,0,1
"beta42",-0.354948320518889,0.0856641341897529,-0.527588788617578,-0.410150253872604,-0.354037901708138,-0.297205740379207,-0.186799405062801,1.00580049685534,581,0,1
"beta43",0.900653319636722,0.0840586530618324,0.73332433747049,0.845028594473539,0.899965130983455,0.956855950214127,1.06747910718755,1.00005220881679,1500,0,1
"beta51",2.25627198898387,0.172507037290036,1.90789438055181,2.14020732320619,2.25820659264618,2.37126214882213,2.58401515748896,1.00223180661585,863,0,1
"beta52",-1.5323075130041,0.106142110239338,-1.73339330365247,-1.60511176729158,-1.53492997232515,-1.46186651422009,-1.31525126906782,1.00065506690869,1500,0,1
"beta53",0.939629545056455,0.101027015455425,0.738356705273306,0.872188372682211,0.940866053129043,1.01001539920338,1.13352311293407,1.00146950763947,721,0,1
"beta54",-1.17408881181289,0.11483187460811,-1.4009283014675,-1.25023617452519,-1.17583358016003,-1.09636986387452,-0.953946556923113,1.00090906959336,1500,0,1
"beta61",0.735192115659236,0.288248702941688,0.158281298692454,0.537852768068153,0.730530045174958,0.947223342839314,1.26591877675368,1.00713778843449,1060,0,0.996666666666667
"beta62",0.625147176936105,0.15156299866919,0.330986248482229,0.519660652215401,0.625598234747226,0.720033601833697,0.938751545044094,1.00013096569757,1500,0,1
"beta63",-0.999694698161249,0.148018253009709,-1.31260556022646,-1.08857656858706,-0.995916613656632,-0.899267735720753,-0.717531593959254,1.00395439287329,398,0,1
"beta64",0.627483795989765,0.168371197495409,0.28612061654896,0.511803066028898,0.627353422082947,0.738290665986662,0.961123798212747,1.00546362742527,269,0,1
"beta65",0.516754114431349,0.0224077256771051,0.475405954723043,0.501080167769474,0.516918293603715,0.531317634531262,0.560395917463116,1.00402657171561,396,0,1
"sigma5",2.99573689635701,0.0328674121431576,2.93266908074385,2.97220224011174,2.99440150803222,3.01843136786282,3.06155440291056,1.00196112736978,1500,0,1
"sigma6",4.04914054579782,0.0430461885366286,3.9629227359702,4.01826213152966,4.04970120206537,4.07732363582371,4.13400690715062,1.00447920315558,301,0,1
"tau5",0.111467740166355,0.00244292095737437,0.106688114217128,0.109758304370855,0.111526977996,0.113199181254585,0.116271663350156,1.00157897037701,1500,0,1
"tau6",0.0610128711825429,0.00129756152057903,0.0585137103346736,0.0601519388727154,0.0609753129628053,0.0619331930006099,0.0636749766196816,1.00455848889157,300,0,1
"nr_int_1",-0.235794545688667,0.133768461026801,-0.49750870070969,-0.325696316398214,-0.235957515591034,-0.138935344123306,0.0142734986331566,1.03060942768618,448,1,0.963333333333333
"nr_int_2",0.580116131151531,0.193177763496664,0.221349602537267,0.430546205868888,0.563177027633624,0.73501247019448,0.935083749288505,1.06678161407623,59,0,1
"nr_int_3",-1.84384979253524,0.131482742306829,-2.07871818372403,-1.93617875178951,-1.85041512362528,-1.75225224806944,-1.59256137600416,1.00923679785499,159,0,1
"nr_int_4",-1.738045312294,0.113272077742662,-2.00454660142856,-1.81047556441134,-1.73014375438234,-1.6579196292255,-1.53827619898576,1.04880611724286,251,0,1
"nr_int_5",-2.05601130355851,0.1137587201831,-2.29384730102256,-2.12358387523293,-2.05454895299505,-1.98678859642982,-1.8286127302821,1.00040588491842,1500,0,1
"nr_int_6",-2.48988390038949,0.12875062089959,-2.74988273174142,-2.56797858783301,-2.48054924685978,-2.40069799179179,-2.23869101680016,1.02423363721768,75,0,1
"T1_imputed_total",257475.04,10981.4407961663,236620.25,249970,257345,264702.5,279624,1.00795211311983,202,0,1
"T2_imputed_total",1379200.88666667,21202.8962192876,1337846.75,1364750,1379440,1394665,1418674.5,1.04932308704323,64,0,1
"T3_imputed_total",2054801.74,13802.7319751944,2027981.5,2045595,2054720,2063807.5,2082266.25,1.00909499722981,173,0,1
"T4_imputed_total",1852580.17333333,22798.2528992932,1806638.5,1837885,1853075,1867895,1895384.5,1.00146681377694,1500,0,1
"T5_imputed_total",32761305.5428564,61458.3493528676,32636208.0797287,32721967.8622722,32762161.8526031,32805103.9858479,32882444.9038,1.00490873728783,454,0,1
"T6_imputed_total",33322251.7162308,127085.615655034,33066919.4234431,33236622.6389153,33321232.730341,33409409.7289198,33557608.8948469,1.00166627802458,1500,0,1
"deviance",119295.969496923,118.650864975936,119072.659075292,119215.712411776,119297.215284678,119375.126819151,119530.547744606,1.00849440145558,203,0,1
