"parameter","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"alpha1",0.386055542959174,0.132189986951174,0.13613594512991,0.290734496503482,0.39178908315915,0.484775723894884,0.627078593158628,1.29147188085963,9,0,1
"alpha2",-0.459947506635896,0.05132435973698,-0.56920697493123,-0.494108568039364,-0.456767784430367,-0.425480014442996,-0.366531213486638,1.08555297258365,31,0,1
"alpha3",0.220760403495686,0.0398337495263668,0.137751389293447,0.194700333965677,0.221763259941331,0.247303513253175,0.298089042193453,1.00954479538615,155,0,1
"alpha4",-0.278996649781157,0.0666959491407459,-0.414604845407593,-0.323295440573633,-0.280598761917314,-0.233442729158686,-0.151313594451511,1.00351689557543,674,0,1
"alpha5",10.1149475116273,0.0954417191178134,9.93436770378485,10.0464970224599,10.1165713709564,10.1803081814427,10.2982977926826,1.00465650548912,464,0,1
"alpha6",5.59031179469063,0.261674916520146,5.06312131156482,5.41169325424529,5.59728060804853,5.7653664860241,6.08890714453651,1.00066371758924,1500,0,1
"beta1w",-0.00538523162818751,0.000423099182765694,-0.00615606976368524,-0.00569945226908896,-0.00540263448799723,-0.00503956789656241,-0.00461249351126114,1.3637942543604,8,0,1
"beta21",1.15306876771181,0.119329813203297,0.936150825767356,1.07009556684718,1.14701310179339,1.23033816859364,1.39528281851254,1.05066335289064,41,0,1
"beta31",-0.656430962746741,0.134829246178786,-0.921789505491212,-0.748623776964458,-0.655923813543627,-0.566147121591752,-0.392643954656976,1.01897762343853,88,0,1
"beta32",0.817836822232807,0.0720768020500339,0.687412820191786,0.767772542044252,0.813968929741825,0.864950020350122,0.96890314499305,1.01118475902454,148,0,1
"beta41",0.396262870109561,0.159967729750351,0.110931672853505,0.280216682925203,0.391442175867164,0.503434596590215,0.725781412127192,1.03550289540248,139,0,0.998
"beta42",-0.400728743631219,0.0855090510762474,-0.57381560228775,-0.456319419433907,-0.399846557206812,-0.344041461185886,-0.232627335956834,1.00260139289506,570,0,1
"beta43",1.0229012783862,0.088894621944419,0.845782218599342,0.963681429168801,1.02341381001509,1.08313974643104,1.19528314244813,1.0035412447949,1500,0,1
"beta51",1.96537589181337,0.192964328106719,1.60640971473482,1.82818849614803,1.96370357262806,2.09584620657339,2.35042585684765,1.01671252861152,103,0,1
"beta52",-1.63252520517318,0.107272510127613,-1.83546151647102,-1.70582114916327,-1.63695355646103,-1.56004926840825,-1.42471767010889,0.999896328536881,1500,0,1
"beta53",0.970387198922352,0.103465827460679,0.765440064898836,0.903426124208706,0.971406806602647,1.04088448693619,1.16948412479777,1.01336995717602,158,0,1
"beta54",-1.11213112146582,0.116563664947931,-1.33088997313402,-1.19306406831553,-1.1129058108934,-1.03368458319063,-0.87733735648147,1.01129212489967,132,0,1
"beta61",0.960240011783914,0.280048557560551,0.370870772926363,0.790639668988563,0.964014161864549,1.14898578874233,1.47272666136288,1.03727770137798,49,0,0.999333333333333
"beta62",0.152536738073362,0.155353785038841,-0.149854522541059,0.0479199168617337,0.154533540621086,0.258648193641206,0.442707520737337,1.00143326059513,800,1,0.838
"beta63",-0.625881276674653,0.150572581513602,-0.92076013241541,-0.726367448459832,-0.629140261598855,-0.530142257661651,-0.32080212621575,1.00951326637585,172,0,1
