"parameter","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"alpha1",0.345178159698557,0.114234199682908,0.111627160917528,0.265946492600501,0.356739949426693,0.429832683592178,0.542429994629331,1.02936380565884,263,0,1
"alpha2",-0.494566064830515,0.0510702125701586,-0.58610988852576,-0.530954850795353,-0.496082994449988,-0.461210624421855,-0.389374282100087,1.07137731925546,60,0,1
"alpha3",0.245333570078688,0.043440615244576,0.159597744410077,0.215585029844003,0.245360910417213,0.276158228763781,0.326457337826588,1.00084859302279,1038,0,1
"alpha4",-0.228619306509375,0.0699258750914365,-0.372780248798768,-0.275283024373957,-0.228515253444319,-0.180457266552514,-0.0944862431403572,1.00534143623012,389,0,0.999333333333333
"alpha5",10.0347049327907,0.0971107568380806,9.85108794830758,9.96990249111097,10.0292222289668,10.1018876544523,10.2265625221472,1.00398929295474,761,0,1
"alpha6",5.07545919419924,0.254215958631299,4.56444357340339,4.90568476065943,5.06737941074698,5.24877599794711,5.583316359084,1.0020269633391,641,0,1
"beta1w",-0.00538876196085539,0.000315290230088857,-0.00593037208788712,-0.00564257724078029,-0.0054133630292435,-0.00514276618569959,-0.00478215087295945,1.02160738736223,117,0,1
"beta21",1.07820035008689,0.112053100719823,0.862731418288803,1.00813740937375,1.07570814212074,1.15160312582627,1.30747718316021,0.999911561472011,1500,0,1
"beta31",-0.835571259457093,0.128915856711848,-1.09029344898521,-0.926951762659464,-0.83196738087568,-0.749463262678164,-0.57817751639419,1.00023329578512,1500,0,1
"beta32",0.868179891228004,0.0742304835241715,0.720535993120103,0.815480060062874,0.869760079144833,0.919138648871113,1.00963934754874,1.00464336348262,488,0,1
"beta41",0.70065552075479,0.168162956325201,0.371843349747309,0.59066856548229,0.702277037675589,0.815780642186105,1.01423004829089,1.02868014492034,149,0,1
"beta42",-0.595373334546279,0.0848110816061957,-0.764673490644808,-0.650497576978975,-0.595530218842262,-0.535722353216834,-0.430051008983318,1.0075786885342,744,0,1
"beta43",1.01977782743707,0.0874043732677039,0.854563563957817,0.959965211047541,1.0162898900893,1.08000235290892,1.20281620120063,1.00040798955042,1500,0,1
"beta51",1.97978943171484,0.181386196503399,1.61613063158578,1.85780034633499,1.98033197145947,2.09947565248634,2.34559957223512,1.00224066745651,1500,0,1
"beta52",-1.59493520340321,0.11856405938674,-1.82532919363838,-1.67280598278364,-1.59209311096949,-1.51814172236218,-1.36269671209884,1.02421875944157,199,0,1
"beta53",0.972682335002639,0.108030514677398,0.758721728624926,0.901268398208219,0.97377504618583,1.0396730984515,1.19169735996794,0.999718481685535,1500,0,1
"beta54",-0.978708151883664,0.120131926659889,-1.21695136712147,-1.06072850269536,-0.976471836422251,-0.899563362698317,-0.743573080236473,1.00743537671335,792,0,1
"beta61",1.3225991415556,0.277815769557697,0.782248188425366,1.14323461903044,1.31667345891517,1.50078212418573,1.88029709387586,1.01959557288994,102,0,1
"beta62",0.672727754230528,0.17326044754216,0.335924841252145,0.551546459763526,0.677311423448328,0.80270477682099,0.996025008904901,1.03749524828902,47,0,1
"beta63",-0.990786372717133,0.148548050093319,-1.27323923860262,-1.09124431089226,-0.994112511717275,-0.894656071278678,-0.685741305452652,1.00407084692122,335,0,1
"beta64",0.69629823410233,0.167697931088455,0.364599244144667,0.583999726561878,0.698809131827469,0.818046050355015,1.01834076863265,1.0143045263575,107,0,1
"beta65",0.461517040604807,0.021900090835292,0.418990141280186,0.44647420230705,0.461696124886972,0.476757834906547,0.503495669166824,1.00064592288432,1500,0,1
"sigma5",3.00695172522922,0.0331544195061072,2.93937052666242,2.98589069228419,3.00674154926815,3.02797520795143,3.07136104385122,1.00307136577256,412,0,1
"sigma6",3.99237168492245,0.0426713324928475,3.90974154804216,3.9639734591634,3.99193773993626,4.02168399187656,4.07377830219348,1.0068621035381,214,0,1
"tau5",0.110638319364629,0.00244361851736991,0.106007906319612,0.109067502890571,0.110613415450114,0.112163664657057,0.115742093375679,1.00321154809739,410,0,1
"tau6",0.0627605623880605,0.0013420097839519,0.0602566841354127,0.061827845822488,0.0627527095316486,0.0636412240479418,0.0654189999988268,1.00667262270517,216,0,1
"nr_int_1",-0.396450059366704,0.150470274116031,-0.677249318818155,-0.501527200410914,-0.398130267829001,-0.286781198035116,-0.0931442382225233,1.04562157638363,139,0,0.996
"nr_int_2",0.567599909733613,0.228108231016503,-0.0564041587352274,0.460518209189907,0.607008983712136,0.71954527314533,0.919845478727278,1.18769958544564,18,1,0.962
"nr_int_3",-2.29419009973337,0.147539235320429,-2.58322938550742,-2.40068130693164,-2.29007585817873,-2.1905429003216,-2.00450765755552,1.02052970059652,101,0,1
"nr_int_4",-1.7124824748052,0.0939209758745945,-1.88026353888944,-1.78459803889653,-1.71299365718304,-1.6444291235279,-1.52658323127861,1.09117081880573,27,0,1
"nr_int_5",-2.09517116516882,0.132326144002501,-2.35683453336407,-2.1810973694829,-2.09024464026959,-2.00466273280551,-1.83610156868353,1.06801646548019,37,0,1
"nr_int_6",-2.203447491304,0.110697365301314,-2.40958164399856,-2.28096597682549,-2.20455824515471,-2.13066236915856,-1.97427389752335,1.11961848674774,19,0,1
"T1_imputed_total",257910.993333333,10236.5273575328,237913.25,251255,257700,264675,277977.25,1.02999839284502,1006,0,1
"T2_imputed_total",1331309.52,29227.3871339089,1286548,1310600,1328030,1346782.5,1401148.75,1.17551022994239,23,0,1
"T3_imputed_total",2093665.05333333,13836.0558285619,2067443.25,2084362.5,2093600,2103027.5,2120198.25,1.00093686400205,951,0,1
"T4_imputed_total",1862347.45333333,23217.4994368735,1816989.75,1846470,1862305,1877632.5,1908020,1.00215427607624,618,0,1
"T5_imputed_total",32168488.1777777,64737.0332824086,32043672.4779414,32126391.8184113,32167442.9363825,32211321.5895565,32294987.7456816,1.01072926027197,146,0,1
"T6_imputed_total",32381664.5802522,124574.160046186,32138334.9715693,32296023.8582931,32380077.2904861,32462073.2329057,32636854.9252747,1.00487790481024,283,0,1
"deviance",116422.836286533,135.38280381674,116126.852521812,116341.254106835,116438.644154294,116517.753682266,116652.933453727,1.11127799361938,27,0,1
