"parameter","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"alpha1",0.0362169183767159,0.109258819585008,-0.189747489863211,-0.0360317667264996,0.0373737293039811,0.116413774063329,0.237506947410683,1.01921486268824,1500,1,0.624666666666667
"alpha2",-0.517324208657361,0.042536459453235,-0.600468831814157,-0.545353347173964,-0.517781992498986,-0.489190484740451,-0.432023116852697,1.012031498766,1382,0,1
"alpha3",0.260289037287775,0.0402377793159519,0.181798112853617,0.233516548726389,0.25955103974037,0.288718604242798,0.336137180563818,0.999440310856622,1500,0,1
"alpha4",-0.302705935375084,0.0668952978846889,-0.434184482809001,-0.345380773578594,-0.303221188663379,-0.258101027516425,-0.176298646202465,1.00226961055532,767,0,1
"alpha5",10.2563701379872,0.100443622779521,10.0520450497178,10.1906963266563,10.2546313449535,10.3214522903204,10.447534411647,1.01942973824377,109,0,1
"alpha6",4.78502714589491,0.247776771428996,4.31179127793957,4.61807060590993,4.78060807793525,4.95277080416394,5.28629658650391,0.999384492508065,1500,0,1
"beta1w",-0.00452391714381424,0.000307344966116797,-0.00513044481497209,-0.00473509439329444,-0.00449434297781169,-0.00432191243583589,-0.00393380747808672,1.08480681304008,102,0,1
"beta21",1.38250322022962,0.12398983468706,1.15585761727787,1.29926204250809,1.37812728047366,1.46900079907164,1.62442198324178,1.01558886173911,102,0,1
"beta31",-1.10491026235388,0.15781110772852,-1.42289715371328,-1.20220147351333,-1.10326794193707,-0.999495282313357,-0.791940517814413,1.01405676453618,166,0,1
"beta32",0.908857834925092,0.0799132177666555,0.758251037828119,0.853084983340349,0.909473266831809,0.961891684022679,1.07137078553657,1.00900581056016,193,0,1
"beta41",0.636712311398057,0.170956107383051,0.300892917603353,0.514854215616319,0.636002259623033,0.753756642709962,0.974393923006105,1.01267249124091,232,0,1
"beta42",-0.461475277876506,0.0847217206252582,-0.629873100477602,-0.518432389867093,-0.458967338439527,-0.403828862966537,-0.294079792461018,1.00236058612636,549,0,1
"beta43",1.01635497663826,0.0862887114519359,0.856416941678911,0.95706204532561,1.0146101669718,1.07321643652881,1.19017605763482,1.00395669691123,336,0,1
"beta51",2.21626600206117,0.171133876160932,1.88473821054813,2.09675374794295,2.21626600838334,2.33288462098208,2.55014015221191,1.02082356493021,77,0,1
"beta52",-1.71136656135603,0.114315879577768,-1.93958423218212,-1.78774121534319,-1.71541538905421,-1.63662170593924,-1.48087784553092,1.00149950525346,1500,0,1
"beta53",0.928091435707158,0.109672608164403,0.714344982600696,0.854584276090019,0.926343710090819,0.999476922264151,1.1492722338125,1.0224892034525,81,0,1
"beta54",-1.19760260524958,0.119454812598988,-1.42148269767388,-1.27696026170075,-1.19847120145553,-1.11796663054053,-0.964834913584984,1.00324137050003,1062,0,1
"beta61",0.956440210426646,0.274257151515068,0.396282411243168,0.779414679908462,0.960666749676803,1.14767686770883,1.48234877903136,1.0528035415037,36,0,0.999333333333333
"beta62",0.506086124134585,0.158293243577565,0.187469595717255,0.397927747425574,0.512206167118164,0.609773428823958,0.805926709543253,1.01047483169237,159,0,1
"beta63",-0.696904614755263,0.150636251658088,-1.00384796758195,-0.798341229869047,-0.690920612113145,-0.595936450656234,-0.395314918022864,1.01264741009787,186,0,1
"beta64",0.683027660420397,0.166318372998488,0.344748692355741,0.572291271579655,0.684767522780763,0.796912710475927,1.00652617124729,1.00281982159666,721,0,1
"beta65",0.509416156255422,0.0210351735577664,0.46833248006774,0.495423230969898,0.50955331039446,0.523488135194184,0.55003145685684,1.00195443121096,678,0,1
"sigma5",2.98953976203913,0.0332551748842456,2.92468860911885,2.96725762456835,2.98917205371457,3.01202612540053,3.05393021800925,1.01057069378865,328,0,1
"sigma6",3.97623726260616,0.0418834606404442,3.89508133367863,3.94937307884582,3.97514105007645,4.00498552968802,4.05797269176021,1.00681034376605,1500,0,1
"tau5",0.111931555123702,0.00249222812001951,0.10722147620901,0.110225615118233,0.111917544585469,0.113576764093289,0.116907058808117,1.00954745209,352,0,1
"tau6",0.0632703005106718,0.00133329947262598,0.0607269911076009,0.0623444929903465,0.0632841444791423,0.0641126424645531,0.0659123717158071,1.00744091884464,1500,0,1
"nr_int_1",-0.303350267223087,0.14492760052603,-0.55931832758466,-0.403843775753176,-0.305327512423031,-0.204438651166461,-0.00916638442626134,1.15021987902344,15,0,0.977333333333333
"nr_int_2",0.836013686683488,0.162761048542154,0.549607965148811,0.71525013773029,0.833756533588787,0.934717713802039,1.19228787401979,1.00137409098259,1482,0,1
"nr_int_3",-1.8744410907801,0.152504627519697,-2.167038034196,-1.98237117132993,-1.87778819538971,-1.76268679355397,-1.58341827219871,1.13284703932858,16,0,1
"nr_int_4",-1.85892366223558,0.114184750604131,-2.0641106641005,-1.93950462479075,-1.85437519770541,-1.77995757384118,-1.64658448799125,1.2322967267418,11,0,1
"nr_int_5",-1.93335461188693,0.135224143248129,-2.21022471920183,-2.03108236729116,-1.93252642693704,-1.83474039577513,-1.67925057689216,1.09260072783717,22,0,1
"nr_int_6",-2.31477577260649,0.126273802708805,-2.57956906937411,-2.40086253368553,-2.30937479158077,-2.22474015466454,-2.06281424164051,1.08046606238312,25,0,1
"T1_imputed_total",264486.826666667,11996.9583285117,241263.75,256622.5,264490,272680,288880.5,1.04044167000395,43,0,1
"T2_imputed_total",1347694.45333333,22498.6086183345,1305687.5,1331757.5,1346330,1364152.5,1391993.5,1.01309498049453,280,0,1
"T3_imputed_total",2111937.62666667,12912.4177566469,2086397.5,2103387.5,2111765,2120572.5,2137195,1.0045330101191,311,0,1
"T4_imputed_total",1850680.58,21544.0166271726,1808458.75,1835385,1850310,1865527.5,1892687,1.00063574690851,1223,0,1
"T5_imputed_total",32722246.0220451,65965.7215812454,32593428.9657272,32675242.5758314,32722911.1495454,32765204.3900109,32851102.46089,1.00079162542924,1500,0,1
"T6_imputed_total",33576311.225079,124923.62900864,33332540.6148485,33494690.9637356,33575719.6192972,33657254.6120873,33834914.455754,0.999671137589023,1500,0,1
"deviance",118269.098862135,121.055591247198,118028.260899034,118187.760509387,118275.943315291,118352.097360699,118493.544862284,1.02329994145327,125,0,1
