"parameter","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"alpha1",0.0533758880622988,0.104942118507426,-0.137199197179871,-0.0197398443613114,0.0486879347328391,0.121249550919577,0.275493458859029,1.02977549378932,165,1,0.684666666666667
"alpha2",-0.498947386850923,0.0492655786325984,-0.591153105942793,-0.534677874576566,-0.499445498981614,-0.463018415782009,-0.406805339643809,1.00630224055371,233,0,1
"alpha3",0.131986545675663,0.0380871925982666,0.0569398402475882,0.105827675752571,0.132170501427191,0.15790541740651,0.206353680131875,1.00086605516295,1326,0,1
"alpha4",-0.328884947872274,0.0655301326023044,-0.458105531390566,-0.3747521789348,-0.32803351157864,-0.285367061471719,-0.198069058777908,1.00389223397605,473,0,1
"alpha5",10.1086383416061,0.0949959232046988,9.92635341905202,10.0441409312009,10.1106434224657,10.1736932903372,10.2900181194957,1.00193177785404,595,0,1
"alpha6",4.9254415637173,0.256454641284277,4.43539060690484,4.75604900611952,4.91369720887315,5.10241289166467,5.44568720611645,1.00234985150343,1165,0,1
"beta1w",-0.00469357438457557,0.000304206860078119,-0.00535983520797423,-0.00486498242046965,-0.00467489544439382,-0.00448795614578394,-0.00418372151252442,1.05585719690769,1500,0,1
"beta21",1.47898936303352,0.129605712504593,1.23425125961519,1.38443375674057,1.48155144437844,1.56728342006885,1.73034935787968,1.00394455657413,522,0,1
"beta31",-0.71141551346159,0.122833075465936,-0.95230562069938,-0.793455897130125,-0.715987241666825,-0.628395767999559,-0.474758760431247,1.00569830138287,1500,0,1
"beta32",0.889711482632693,0.0723614823934886,0.749725118732324,0.839416203675613,0.890035387822174,0.941552997527281,1.02993413062044,0.999988556472042,1500,0,1
"beta41",0.901972621972265,0.179433015988606,0.539181808317483,0.7892406881668,0.904375131665166,1.01684849864441,1.26343847455998,1.0550720400821,35,0,1
"beta42",-0.601998497217462,0.0898526059430178,-0.774753356552832,-0.661463059468897,-0.604534716797074,-0.543197111364548,-0.42282637577782,1.00008207098628,1500,0,1
"beta43",1.05264413452019,0.0848572215948549,0.880029451672688,0.997419094229876,1.05382438588473,1.11196389898993,1.21549465239526,1.00232757549464,508,0,1
