"parameter","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"alpha1",0.32923297193651,0.112421668703562,0.103148649465259,0.253765060572847,0.3290108296716,0.405034982385771,0.552617733050795,1.05939914246704,45,0,0.999333333333333
"alpha2",-0.529073916517383,0.0529041763331306,-0.629639720685559,-0.565838023490098,-0.530278318585941,-0.493785469117208,-0.416857172245819,1.25495627539319,10,0,1
"alpha3",0.172768824803377,0.042111554276881,0.091117210771145,0.144492928893684,0.172872915229979,0.201536958569287,0.256537769176994,1.01061635294924,149,0,1
"alpha4",-0.364860243384415,0.0677784872057832,-0.495053035476574,-0.410356143294318,-0.365660532736005,-0.318254445638744,-0.232912970436914,1.00337837776835,451,0,1
"alpha5",9.9351314558873,0.0953858450826349,9.75623755813919,9.86867718286201,9.93741242351077,9.99693231670463,10.1277862622437,1.0408086057851,44,0,1
"alpha6",4.60814631643924,0.242970183693388,4.15296021795869,4.44618998217525,4.60165179994256,4.77496389965138,5.10334810521922,1.00406867359251,403,0,1
"beta1w",-0.00542664149243497,0.000362074160876131,-0.00618687247631566,-0.00565814732236324,-0.00538662131268494,-0.00517745416062089,-0.0047940804591038,1.2159805541867,12,0,1
"beta21",1.21173748113511,0.113773200637572,0.982505720983288,1.13633197600209,1.21167261072088,1.28655594971713,1.43735636227672,1.02814457969341,113,0,1
"beta31",-1.05362757471284,0.143139259949575,-1.34013812233144,-1.14739849953841,-1.05176141612175,-0.95892009401371,-0.757804512318601,1.00736007201943,1500,0,1
"beta32",0.961825455014384,0.0768682478756747,0.813345885387496,0.90875328635879,0.960770456267995,1.01230832942812,1.11526129723303,0.999343913175091,1500,0,1
"beta41",0.419897028013809,0.152188779852641,0.121486376360398,0.315513751301967,0.418645966690988,0.525347891173212,0.736172702838793,1.00027856382898,1500,0,0.997333333333333
"beta42",-0.472524272728215,0.0890718408447974,-0.649617551174499,-0.535699334717453,-0.469725288867448,-0.410011495283612,-0.304072130427244,1.00094766691148,1500,0,1
"beta43",1.10776986079621,0.083906322732538,0.943699538673926,1.04909651118012,1.10925949882451,1.1664547076795,1.26670345685986,1.00875510697418,609,0,1
"beta51",2.17976114460925,0.171001191585709,1.8546782965919,2.05945470807153,2.17827302525688,2.29351311338729,2.52573598345325,1.02026923627812,79,0,1
"beta52",-1.43327835759217,0.119108078380543,-1.65975111507954,-1.51455868366272,-1.43506477705373,-1.3531850725037,-1.19530907445001,1.13844203442454,16,0,1
"beta53",1.07968442014919,0.108233978518536,0.867211709559369,1.00657942542792,1.0801105291509,1.15185838690385,1.28765747242735,1.04214246642834,42,0,1
"beta54",-1.21472890401355,0.12067124167259,-1.44962337292329,-1.29606533607753,-1.21590699885926,-1.13637736106061,-0.983404251026574,1.0383299778942,46,0,1
"beta61",0.88262391097508,0.298619306993552,0.284112143606295,0.68389667033928,0.884507770527386,1.07835832667627,1.44241238274495,1.00282872635623,445,0,0.997333333333333
"beta62",0.492482006881483,0.157865132489229,0.190350971970729,0.382141179523054,0.493147001847529,0.599548305449232,0.798755276943726,0.999554312178845,1500,0,0.998666666666667
"beta63",-1.03014303133325,0.152290087619824,-1.32618604064595,-1.12643182448002,-1.03097745815149,-0.937376498995593,-0.723030192421486,1.00076705700804,1434,0,1
"beta64",1.21234931666085,0.167801562411398,0.891802486931363,1.09374037464733,1.21582559505177,1.32982786128459,1.5223229455423,1.0012191984415,1500,0,1
"beta65",0.512944181878089,0.0217560644882533,0.46842057341426,0.498556329547093,0.514043332049675,0.526911737669176,0.552472102561328,1.00174892600195,985,0,1
"sigma5",2.9721072952442,0.0326305175127682,2.9109284559444,2.94952264507138,2.97175683519823,2.99361044941231,3.03936185616076,1.06308388099541,29,0,1
"sigma6",3.99631277402864,0.0414995716557554,3.91492129903277,3.96927892994887,3.99568323986131,4.02478420651024,4.0764439971118,1.00012018818148,1500,0,1
"tau5",0.113247310046969,0.00248558805926457,0.108251815576785,0.111585927569553,0.113233116221712,0.114946706116452,0.11801492811425,1.06308977979837,29,0,1
"tau6",0.0626356429983104,0.00130183963709091,0.0601779015726658,0.0617326328584642,0.0626351174515462,0.0634712077653245,0.0652460054644861,1.00011237388093,1500,0,1
"nr_int_1",-0.396034022015009,0.131545464755713,-0.673167740054469,-0.477830595528525,-0.396351360026212,-0.314090999241483,-0.128647846187031,1.00235707912949,680,0,1
"nr_int_2",0.897555520950982,0.203747391532643,0.410221414565245,0.792109886796371,0.910565069852404,1.03423276318163,1.24166413723055,1.6845747076519,5,0,1
"nr_int_3",-1.91302626101682,0.150118131149319,-2.22568747464335,-2.00989287343512,-1.8993311202044,-1.81282154059127,-1.63994329964514,1.13639415549127,19,0,1
"nr_int_4",-1.71218323065267,0.111645792492534,-1.91554690837412,-1.79690272989619,-1.71652071713373,-1.63641685756002,-1.48947043212434,1.06282299033898,34,0,1
"nr_int_5",-2.03658836267407,0.113186297761539,-2.26906461486845,-2.1106805391744,-2.03065916099868,-1.95850712384473,-1.82623194137428,1.00321310083791,428,0,1
"nr_int_6",-2.19768423958507,0.120580928656446,-2.42795447290497,-2.28273378701029,-2.19900148170617,-2.12026093027748,-1.96467235004189,1.04082018370415,47,0,1
"T1_imputed_total",253364.273333333,10558.8117643925,233553.75,246377.5,252915,259865,275873.75,1.13265059327968,17,0,1
"T2_imputed_total",1351104.77333333,30422.3676930751,1291266.5,1330102.5,1350115,1372497.5,1411221,1.43372261813715,7,0,1
"T3_imputed_total",2119256.37333333,14643.4681782521,2089178.5,2109605,2119475,2129145,2147912.5,0.999443820746636,1500,0,1
"T4_imputed_total",1866121.68666667,24301.0463709893,1819167.25,1848730,1866665,1882537.5,1912452.25,1.00609620597725,229,0,1
"T5_imputed_total",32807106.7338315,67065.906997035,32675618.2955302,32763315.7124166,32805681.4649945,32854212.660118,32935079.5020991,1.00474835650548,303,0,1
"T6_imputed_total",33655648.8681637,134033.503052827,33399445.612078,33567925.1941686,33652538.1716549,33745244.2676382,33919026.3409198,1.00295450402836,644,0,1
"deviance",118043.432853958,110.717901820609,117823.732961631,117972.917684877,118041.492267722,118114.400819875,118260.798246073,1.14592568492385,15,0,1
