"parameter","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"alpha1",0.120454181966497,0.104650562407438,-0.0749046492842253,0.0465042120489535,0.11657309493384,0.191423746723459,0.33226058205299,1.01696617851359,180,1,0.874666666666667
"alpha2",-0.500939223900828,0.050413905420882,-0.603788663974854,-0.533963519917416,-0.499974489105643,-0.467624116510155,-0.400703331063809,1.00838406070845,173,0,1
"alpha3",0.216791246803354,0.0413051479066391,0.135615093379348,0.190101500543548,0.217521671166384,0.245718759492121,0.295149781723436,1.00439354790452,304,0,1
"alpha4",-0.321488114850258,0.07046543286799,-0.456883195404405,-0.371394616277629,-0.321497555054126,-0.271495857447635,-0.189112798744041,1.02604243518551,64,0,1
"alpha5",9.98884573364538,0.096161419514934,9.7993121384063,9.92116174646146,9.98773739480063,10.0549754896383,10.1799754934458,1.00103897370195,1500,0,1
"alpha6",4.68156984390281,0.243598050365329,4.19297156514041,4.51824595817835,4.68423879815824,4.84491720029853,5.15415006182608,1.01981026551932,84,0,1
"beta1w",-0.00464198193959261,0.000284087346039097,-0.00519823680732199,-0.0048373907251909,-0.00464871516894039,-0.00444564225593227,-0.00406076419246273,1.05942436399081,61,0,1
"beta21",1.10262739397515,0.121796361632393,0.869628510143321,1.01788158227594,1.10398541781591,1.18106980636082,1.34355328316861,0.999412422643586,1500,0,1
"beta31",-0.932685825987601,0.136445711209006,-1.22097883361768,-1.01879616765659,-0.926571129676597,-0.837834863746131,-0.680217783295093,1.01219240569876,153,0,1
"beta32",0.846868620331155,0.0750286159476174,0.698028447961423,0.794317725149292,0.844169734901915,0.898745193212675,0.999301178239147,1.00108429917907,1500,0,1
"beta41",0.373024462558523,0.180920663298504,0.0409158941318458,0.248138070182663,0.366934598007423,0.484202703072151,0.753756003253385,1.04494180618865,39,0,0.983333333333333
"beta42",-0.473422861746752,0.0895290348854854,-0.647600263203584,-0.531522724990907,-0.477130269117125,-0.416222197025453,-0.289247825684129,1.01487242763063,104,0,1
"beta43",1.1115026554151,0.0860542021408807,0.942171588822928,1.05416748827843,1.11261724453562,1.16748942271905,1.27771624457236,1.03326990195868,51,0,1
"beta51",2.20808673251805,0.185226706543047,1.83558713552953,2.08352392496863,2.20618515112497,2.33336598537876,2.5606499020702,1.00266608293823,466,0,1
"beta52",-1.57901983040244,0.118713656729849,-1.80551884626428,-1.66049226336822,-1.58588713692491,-1.49962188346696,-1.34028825304871,1.00515585257761,608,0,1
"beta53",1.08558309532932,0.11004902496206,0.87155735512602,1.01272507247998,1.08575125538726,1.16118657366499,1.30085843518216,1.00103094003006,1064,0,1
"beta54",-1.12191760071123,0.116368047247325,-1.34407138672023,-1.20389099272839,-1.11906458086484,-1.04092059320578,-0.899229667718163,1.00732137969962,201,0,1
"beta61",0.813612414316811,0.269071949148067,0.292405892920868,0.630805741800123,0.812915097312224,0.994537612526918,1.36459239865048,1.00478606448278,283,0,0.999333333333333
"beta62",0.757436608367048,0.148898840123716,0.475396942550394,0.656275872643087,0.756917042000174,0.852648868806973,1.04907720999509,1.01239772320139,124,0,1
"beta63",-1.05987646870857,0.153093382219209,-1.35103603341102,-1.16505214138257,-1.06278517111783,-0.953124506906879,-0.759733887568358,1.00271391950793,452,0,1
"beta64",0.898671858437259,0.159442548327272,0.595971011420716,0.79595332825237,0.899294437552481,1.00744280439686,1.20412483530266,1.01550960675121,117,0,1
"beta65",0.531363733763826,0.0212223449931566,0.489774685971669,0.517474042488126,0.530849249327607,0.545394206430825,0.57326645083042,1.01151000813438,138,0,1
"sigma5",2.98468230942349,0.0336130358570959,2.9181333963155,2.96192719516102,2.98480442759135,3.00884718094901,3.04724462347677,0.999478327748135,1500,0,1
