"parameter","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"alpha1",0.4948189784149,0.114099849861128,0.292603431232865,0.413883147840879,0.491515931576618,0.575677674386191,0.721695861805381,1.00950193158026,1500,0,1
"alpha2",-0.518600296881895,0.048989379881357,-0.612957119536331,-0.550612473378618,-0.519308017013395,-0.485189850878012,-0.424258261956865,1.09459127356463,21,0,1
"alpha3",0.196553755511654,0.0397215628066806,0.125771714253061,0.168515424592955,0.195955483175209,0.222817567592586,0.276358575374339,1.00919962727208,266,0,1
"alpha4",-0.227444764432663,0.0676782351292155,-0.36246438157581,-0.273525725536123,-0.227095964548509,-0.182070523927265,-0.0961991188527515,1.00557259565004,654,0,1
"alpha5",10.05307774633,0.0980066100663718,9.85973720387062,9.98941117503152,10.0507396132073,10.1170087506839,10.2453885218785,1.05816669685983,32,0,1
"alpha6",4.49045279210246,0.246537580930919,4.0053369582184,4.3188904211471,4.49041277636984,4.65696529368764,4.98125791639166,1.01605454389932,96,0,1
"beta1w",-0.00583786440738844,0.00036355759690946,-0.00661450850478436,-0.00604941296787283,-0.00582101458046947,-0.00557967450776248,-0.00516936811034462,1.0101123418734,840,0,1
"beta21",1.1633050175652,0.108135375866099,0.957388994194089,1.08451526728379,1.1633182569644,1.23934524844126,1.37298199995723,1.00374231756696,1500,0,1
"beta31",-0.835725588613613,0.130722310049649,-1.09337387426638,-0.922054874535054,-0.834700147092217,-0.749334338905835,-0.586133688373887,1.01603104716396,415,0,1
"beta32",0.940858864989363,0.0744197424938354,0.799193535703235,0.88735190571486,0.942169911535399,0.994546891126927,1.08196250069398,1.00318835771991,407,0,1
"beta41",0.304565868972233,0.154254486924104,0.0142333184546258,0.199821598014989,0.298552454193656,0.406848207390584,0.617709449963295,1.00089610154017,969,0,0.978
"beta42",-0.404964706615138,0.0843499526852247,-0.581565749849133,-0.461821073723886,-0.405221615913873,-0.346056575933351,-0.244185806049896,1.00285525223859,457,0,1
"beta43",0.925866527826882,0.0808275499973998,0.76372923388271,0.872177158591979,0.928503010670677,0.982154944763601,1.07913272991955,1.00481338794697,281,0,1
"beta51",1.93063275050306,0.180057836876515,1.54945001034303,1.81687369095746,1.93519175770665,2.04590738380849,2.28574547642774,1.00237013407263,608,0,1
"beta52",-1.530559071762,0.112808446174344,-1.74802072129808,-1.60707467545824,-1.53309164504893,-1.45697834143346,-1.29984881822464,1.08583999289276,23,0,1
"beta53",0.902117163882622,0.107805110920765,0.698687916140005,0.827924365191099,0.901114215489585,0.976604897764359,1.11931095747036,1.01394540126085,115,0,1
"beta54",-0.996321251893017,0.117854983580766,-1.22939596513588,-1.07717109237823,-0.994982994939055,-0.916396784422364,-0.772369847033787,1.04816805995232,38,0,1
"beta61",1.118572971781,0.262484501791737,0.60354215108595,0.941356130193108,1.11834147680716,1.28584060363494,1.61492349558327,1.00236614151454,1500,0,1
"beta62",0.711602900520904,0.158835962931935,0.39194603663038,0.602994713886988,0.715872799522965,0.828502348949291,1.00771112591699,1.00185303775005,638,0,1
"beta63",-0.833305155745934,0.155913526494308,-1.14045120921801,-0.937887730941565,-0.833423996954529,-0.727445728865226,-0.53260225241464,1.00099410122938,1500,0,1
"beta64",0.969911232838966,0.172801898558188,0.64244917100266,0.849489689394294,0.968632079625618,1.08244129895089,1.31961036928664,1.02146667370585,76,0,1
"beta65",0.510389016604029,0.0215767749512382,0.468577684579091,0.495176739331531,0.510543154716538,0.525187042926105,0.550492062460757,1.00623834636411,237,0,1
"sigma5",2.96033322450433,0.0342043524427525,2.89630258233409,2.93765751488774,2.95938177010372,2.98414212668112,3.02642485864979,1.00041962371825,1398,0,1
"sigma6",4.03086027160117,0.0408493669476999,3.95296520454208,4.00317330445349,4.0304672589557,4.05819245188948,4.11301831478299,0.999841396579892,1500,0,1
"tau5",0.11415436880925,0.00263692064460414,0.109179276236803,0.112295148376823,0.114182096183638,0.115877115311429,0.119209848772973,1.00040823943186,1402,0,1
"tau6",0.0615656178463531,0.00124813236058259,0.0591124173089421,0.0607204138023171,0.0615586667159769,0.0624009521173688,0.0639961749435565,0.99976885214561,1500,0,1
"nr_int_1",-0.343758741793035,0.154672210093112,-0.638309828883042,-0.44492526981016,-0.353062672798749,-0.245841422553786,-0.00235524489174438,1.18141481448049,13,0,0.975333333333333
"nr_int_2",0.400693135989773,0.231345611452394,-0.212662841455029,0.262990510266411,0.411953760057257,0.57357088040303,0.769773003122,1.16196151968374,16,1,0.95
"nr_int_3",-1.95950587663213,0.180206396930231,-2.33814475617392,-2.08282476751953,-1.94950584407136,-1.82560955451049,-1.65947478706594,1.09604469646589,221,0,1
"nr_int_4",-1.83449231118103,0.11016191440455,-2.0455527357287,-1.90460324394465,-1.836933521885,-1.76143105662917,-1.62450115726404,1.08898409380412,22,0,1
"nr_int_5",-2.04358324268921,0.103144251482521,-2.25118262495897,-2.11455069552425,-2.04329547584183,-1.97450983199211,-1.84087356814028,1.01823859472655,458,0,1
"nr_int_6",-2.52002189262142,0.141370738959828,-2.83594877525079,-2.60599255814737,-2.51659158030401,-2.42504140080816,-2.26457504847938,1.38250865482197,8,0,1
"T1_imputed_total",260480.153333333,11230.7140765374,238996,252877.5,260120,267952.5,282207.25,1.00336720613194,381,0,1
"T2_imputed_total",1370556.9,28510.6454315802,1317118.5,1348640,1371260,1391837.5,1423750.25,1.19364273852053,12,0,1
"T3_imputed_total",2105359.76666667,15249.1761524278,2074744.25,2094902.5,2106045,2115992.5,2134671.25,1.00123139370303,967,0,1
"T4_imputed_total",1850833.07333333,26318.2291389694,1800334,1833170,1851470,1867425,1902985.5,1.00629458621434,230,0,1
"T5_imputed_total",32690601.3351912,64690.6551706971,32565114.5705382,32646704.6359848,32689137.3134607,32734588.7602,32814066.3972154,1.01148308499977,262,0,1
"T6_imputed_total",33129181.0513246,130479.669690961,32870883.5013808,33042739.9018039,33131022.7389228,33216949.6074843,33388056.311179,1.00926692522943,166,0,1
"deviance",118145.589034384,128.815497300346,117887.65705517,118059.96102287,118149.398022247,118237.535525173,118373.778971751,1.09825962315161,21,0,1
