"parameter","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"alpha1",0.17006114413164,0.123864155289375,-0.0655962927823168,0.087187880090225,0.173020787619431,0.245137012971115,0.440279954007119,1.1501162397886,16,1,0.910666666666667
"alpha2",-0.516698513364348,0.0552369300297524,-0.622312844723955,-0.555880332930695,-0.517580407374506,-0.479965958699145,-0.402502731264643,1.01416035878777,1500,0,1
"alpha3",0.265267303030699,0.0397082626238623,0.187618036080517,0.238033473003644,0.265968060824608,0.293128111909719,0.340403740914239,1.00199614176733,596,0,1
"alpha4",-0.301068171639636,0.070856064740414,-0.428909132634334,-0.352367374239826,-0.306282195451024,-0.253288079225299,-0.158213330358103,1.00454697229221,295,0,1
"alpha5",10.0862590188433,0.0983847716090188,9.89939728229118,10.0164525819556,10.088332702201,10.1532055211823,10.2753676125693,1.00394160471696,333,0,1
"alpha6",4.63301227044282,0.238954936113923,4.16740891242742,4.47701454892076,4.6336312214507,4.79241344087607,5.08183041575512,1.00033227868873,1500,0,1
"beta1w",-0.00494131463445977,0.000359512716779189,-0.00570690688839635,-0.00517089269544377,-0.00494043984061241,-0.00470931073467031,-0.00422700635493701,1.14949803925996,15,0,1
"beta21",1.25783643039341,0.119028291718344,1.02796737976198,1.17756778769397,1.25938972483909,1.33620179973358,1.50624384319819,1.00718409244134,254,0,1
"beta31",-0.780824010073926,0.137608817645963,-1.04240391582138,-0.872608701784052,-0.782766430883113,-0.6916796001856,-0.49167977112347,1.02204137864698,74,0,1
"beta32",0.734187465390779,0.0722113112210147,0.590230167901257,0.685558696063593,0.738326994989145,0.786073888707212,0.869123528927936,1.00220292544937,825,0,1
"beta41",0.62778505095573,0.177829955317072,0.292335024266026,0.509911102954331,0.626706936045318,0.742589318544429,0.978397061757625,1.02727936211224,145,0,1
"beta42",-0.422841017438105,0.084452416181041,-0.597502827084869,-0.477236249500678,-0.423992367728478,-0.364939487296075,-0.25829927237327,1.01030472432842,144,0,1
"beta43",1.0725166932777,0.086376789284546,0.903872519659703,1.0134978821252,1.07277169189667,1.13061738664686,1.23786175672612,1.01904289202022,85,0,1
"beta51",2.00468283589261,0.186976350159355,1.64264879460956,1.87941844356075,1.99933528147553,2.13053486324393,2.37796659407825,1.05896407259873,32,0,1
"beta52",-1.61453209253168,0.11320112675325,-1.83383966601122,-1.69058805550999,-1.61695091791369,-1.54206282043115,-1.38858568355778,1.01958980416131,96,0,1
"beta53",0.936198359301887,0.112169267867624,0.715226227634412,0.863873420832926,0.936062131148049,1.01230452642206,1.16654873853869,1.00408491282372,327,0,1
"beta54",-0.934612705506427,0.124699754172794,-1.17323214433818,-1.02264989132146,-0.933993468009166,-0.855621457714499,-0.685384629258975,1.00355418022136,363,0,1
"beta61",0.70377378667182,0.268708593529485,0.171039146225594,0.51354050742573,0.710298445428188,0.889556100478012,1.21758868444862,1.00057196297161,1500,0,0.996
"beta62",0.580247437593533,0.155441698439977,0.288697311060711,0.474627761500542,0.573046198060205,0.681271839734499,0.90490344456193,1.00264876122092,1500,0,1
"beta63",-0.60032084528309,0.150698547872471,-0.897433854209373,-0.700303554091547,-0.602087323191342,-0.502124725810391,-0.297011367791362,1.00208860816077,602,0,1
"beta64",0.762515083694139,0.164315225022713,0.448327542240418,0.65287337304732,0.761507067093246,0.872923347390137,1.09085018708424,1.00513848024898,427,0,1
"beta65",0.514294395210009,0.0202018037837184,0.47515043379607,0.500770708930023,0.514233692940652,0.528621436420533,0.553051253114666,1.00257001948079,489,0,1
