"parameter","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"alpha1",0.0521002065323227,0.123370497146903,-0.186251871761046,-0.0347773775745447,0.058876689568277,0.14096239942202,0.272246391270348,1.00136913642508,1500,1,0.662666666666667
"alpha2",-0.525882543229692,0.0490022543949567,-0.618887514163883,-0.56121363655228,-0.527093516828941,-0.491829213539398,-0.428529520948058,1.00625068542435,227,0,1
"alpha3",0.19424930454591,0.0404520691265296,0.11553141568132,0.167494506464179,0.193901161955776,0.22130533069916,0.274339802578955,1.00141108332562,1500,0,1
"alpha4",-0.151372301098294,0.0707494369315814,-0.291212389201695,-0.199596707807316,-0.15098854391993,-0.103737837822387,-0.0131529457684546,1.00809212685323,208,0,0.985333333333333
"alpha5",9.89133525741059,0.0916246300696178,9.71637003629119,9.82972554381344,9.88850786893225,9.95855710897267,10.0702315496058,1.00319658667421,467,0,1
"alpha6",4.63625335281035,0.248250243354741,4.17905505455075,4.46442381024311,4.62850140469257,4.81175660797661,5.11248631281865,1.00607378661639,330,0,1
"beta1w",-0.00466273503790236,0.00031942068580303,-0.00522536006272179,-0.0048790890202926,-0.0046967475344984,-0.00446298689589611,-0.00397439200529785,1.00074515567143,1500,0,1
"beta21",1.24140908184363,0.128970806469754,1.00114806447659,1.14673897031317,1.24152171072114,1.3298541678972,1.50132840629051,0.999650833304131,1500,0,1
"beta31",-0.92682116670699,0.14159291022689,-1.20313019455148,-1.02600769775835,-0.928226734961756,-0.837225216588951,-0.641621084972635,1.01042697315578,166,0,1
"beta32",1.01400112486371,0.0758846988234765,0.866399624642862,0.960985496088691,1.01384617870871,1.06513558021146,1.15745167940186,1.00352909147266,377,0,1
"beta41",0.362580775933891,0.181940181723519,0.0142060761882158,0.238648233990159,0.359054196569155,0.48914547326737,0.721691787198957,1.01469314691996,259,0,0.98
"beta42",-0.512392962381413,0.0923043247567788,-0.698571078151233,-0.570927658812738,-0.514068170543001,-0.45292266118741,-0.320626935388164,1.01141668670628,150,0,1
"beta43",0.980439505780961,0.0876917812230584,0.814118267689284,0.92186226480358,0.978203596322612,1.04088872411262,1.15403265095863,1.02167368429045,93,0,1
"beta51",1.74624514645989,0.208300885705858,1.34339008435808,1.60369623509385,1.73997067598767,1.89260330691586,2.17827956093665,1.0035056326868,1500,0,1
"beta52",-1.34318220541563,0.121300501748018,-1.58083045898325,-1.42313995445728,-1.34168503051361,-1.25564129052293,-1.109715241083,1.0146925639814,105,0,1
"beta53",1.09849573355375,0.108597786375935,0.888396668657612,1.02421119170491,1.0993783652676,1.17137281382773,1.32019513161485,1.01332176458849,115,0,1
"beta54",-1.05478493916817,0.11439350680148,-1.27734360233191,-1.13086004335782,-1.05356659846272,-0.975905703832999,-0.841785380389032,1.01442643392637,180,0,1
"beta61",0.814230009215615,0.286282347540256,0.262583205093642,0.62184894668556,0.819262322301865,1.00141168785652,1.38405696595925,1.01486538143541,108,0,0.996
