"parameter","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"alpha1",0.125494136357057,0.1203892312043,-0.0844587532747329,0.0354957293963753,0.120629502658436,0.211548334499796,0.368397747732069,1.00411357786188,1500,1,0.841333333333333
"alpha2",-0.537754565080019,0.0557450290601203,-0.648170049580825,-0.575147106806761,-0.536019623706683,-0.496976337205051,-0.432717026910348,1.0626665932492,31,0,1
"alpha3",0.17739808266565,0.039161873877404,0.0964728864278609,0.153208698435469,0.178115431553196,0.204604737835831,0.249873774955646,1.01507994828791,124,0,1
"alpha4",-0.328245652674248,0.0670329239822199,-0.460500343328596,-0.371610073069353,-0.330184072009665,-0.282642031720509,-0.201276407728155,1.00001156655685,1500,0,1
"alpha5",9.76325318527916,0.095940053998255,9.56711581381327,9.69992511285483,9.76326276268918,9.82921022730924,9.9483809218007,1.01469558164733,231,0,1
"alpha6",5.22778515398963,0.242273392063508,4.76372168573469,5.06045976209143,5.22791626611989,5.39995927077411,5.70103895037533,1.00003426116227,1500,0,1
"beta1w",-0.00476925432062069,0.000326253644899131,-0.00543672950045349,-0.00499880195780966,-0.00475037767188373,-0.00451825959320871,-0.00421811051829434,1.02385576296212,69,0,1
"beta21",1.20692049638251,0.117582546692443,0.984102993838722,1.12785151639655,1.20081994520444,1.28690575052591,1.445001225332,1.00627688276365,250,0,1
"beta31",-0.6797652824144,0.141075910051314,-0.968009248672058,-0.779502525044577,-0.675911526500957,-0.581387974849035,-0.420332971150425,1.04422400689946,40,0,1
"beta32",0.967060542125653,0.075437322883294,0.823154051374068,0.915095410148735,0.968974010991268,1.01489697416061,1.11379727315234,1.00087266622672,1500,0,1
"beta41",0.44622112597912,0.155921779376296,0.135394174169737,0.343077453959078,0.443739677695627,0.552914958561471,0.749173805011301,1.00082817894794,1058,0,0.999333333333333
"beta42",-0.4648380506887,0.0859865248473752,-0.636049185444393,-0.519572303188321,-0.463055122890702,-0.409247978384745,-0.298693766230954,1.00305155104658,1500,0,1
"beta43",1.03906970074217,0.0861196058852964,0.873942372800025,0.981552087311543,1.03990703143073,1.095789874392,1.2129240409747,1.00158585069407,1160,0,1
"beta51",1.94229260299766,0.187190630606106,1.58734951921628,1.81297955775749,1.9338241463336,2.08250695403424,2.30959460612751,1.01463452556876,115,0,1
"beta52",-1.34576854426898,0.12526124820661,-1.58390951253875,-1.43146471377229,-1.34657922900868,-1.26300885435593,-1.10781260494327,1.01554123100111,165,0,1
"beta53",1.08082492325448,0.108784689690287,0.860216719729659,1.0081275615862,1.08039724500331,1.15195628736743,1.30487391993526,1.01254987123395,120,0,1
"beta54",-0.930891988328823,0.120595482832415,-1.16399464305394,-1.01404946801352,-0.930928866289026,-0.848548658916639,-0.699850853497737,1.0028775052329,441,0,1
"beta61",1.25575738324109,0.298900605547104,0.686398448261508,1.04752826888767,1.25960547909843,1.46354819023242,1.83337331117405,1.00196067415742,598,0,1
"beta62",0.464984259611288,0.158083035934967,0.158888154786978,0.355243592123869,0.465040593155602,0.571165589047783,0.757661036337263,1.02569401302087,65,0,0.999333333333333
"beta63",-0.871179569352235,0.155597441579252,-1.16080693329034,-0.983075371453313,-0.870493787031858,-0.760855164576088,-0.568577042617437,1.02469190478486,66,0,1
"beta64",0.683296268003229,0.166348639675686,0.341827610014606,0.578931149802994,0.692403127919841,0.79082596127459,0.99906800282143,1.01499803131264,102,0,1
"beta65",0.472023367728309,0.0217959807915907,0.428948479348611,0.456984883111529,0.472714971023805,0.486307512506086,0.514658157753434,1.00024999168985,1500,0,1
"sigma5",3.03743264342897,0.0327743675735224,2.97758848086378,3.01332021003299,3.0370480817564,3.0605778250915,3.10281920325465,0.999444816355994,1500,0,1
"sigma6",3.95839580143881,0.0443367649101105,3.87489940268543,3.92925964300146,3.95807895238668,3.98696865089892,4.04637095702428,1.0008551393982,1500,0,1
"tau5",0.108427144777692,0.00233572394828391,0.103869265367278,0.106756209564991,0.108416820011415,0.110130961924308,0.112790014068653,0.999434159179565,1500,0,1
