"parameter","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"alpha1",0.152586449593054,0.126501917718354,-0.0772404155607191,0.0629084711174297,0.143120090121735,0.240117157686658,0.398865368777815,1.02660298527454,1500,1,0.882
"alpha2",-0.489580922026816,0.0524076290729165,-0.589706987125765,-0.525364292548488,-0.489253945525712,-0.451624543625302,-0.391487816966295,1.04900564321887,63,0,1
"alpha3",0.22897293806348,0.0409471111335299,0.151110528824654,0.20083339651554,0.228714931051472,0.256904228901285,0.309591871780543,1.00018456723039,1500,0,1
"alpha4",-0.343028156187248,0.0714574417470254,-0.480200307667475,-0.390768073113717,-0.344687727845948,-0.293467469661828,-0.200317759156497,1.00151371740616,961,0,1
"alpha5",10.0612565547396,0.106023202793591,9.86230564353457,9.98908613375665,10.0587254324114,10.1298043021482,10.2710765239445,1.00939153572385,1500,0,1
"alpha6",5.11857222316713,0.249544650188522,4.63391063578439,4.94894571726457,5.12198997259646,5.28762448457969,5.60400404742366,1.00452100775922,299,0,1
"beta1w",-0.0048187502352176,0.000417840017014796,-0.00571326191192385,-0.00508750297423587,-0.00478818012437495,-0.00448758622443855,-0.0041196585474246,1.06365456557025,161,0,1
"beta21",1.22616617620622,0.127044886615551,0.979917410312497,1.14024305162535,1.22638116235483,1.31387617414557,1.46207541249082,1.02101756019995,79,0,1
"beta31",-0.71995686160012,0.131746510693917,-0.97830941061045,-0.811739498184833,-0.712974370889752,-0.630413770304231,-0.477196659468897,0.999942484014859,1500,0,1
"beta32",0.798547161103252,0.076737942497226,0.651662357341479,0.745885899071637,0.800326902265306,0.850960465541305,0.943474031591513,1.00066636689372,1500,0,1
"beta41",0.945947566896132,0.186813189894927,0.615195271238553,0.815949420140809,0.933383017454292,1.06661399784061,1.32346644933259,1.01907611775753,142,0,1
"beta42",-0.598730898360338,0.090801367288685,-0.792344097262632,-0.658063873607988,-0.59693304999989,-0.534653156373656,-0.431904759788953,1.00845733896987,238,0,1
"beta43",1.10914043427891,0.093190160422093,0.924849144177974,1.0474471580522,1.10875161141822,1.17230270856305,1.2893055769324,1.00161983201948,1500,0,1
"beta51",2.17215666099296,0.189915835249817,1.80483374759994,2.04530025149565,2.17013189192929,2.3046207470766,2.52817853441004,1.00018196935192,1500,0,1
