"parameter","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"alpha1",0.236642023841282,0.1120828354144,0.0200904381487738,0.165783846152515,0.2325553293012,0.313637741864587,0.453561237149201,1.00729532418341,243,0,0.984666666666667
"alpha2",-0.532961442919963,0.0570395852784559,-0.648315769206843,-0.573794988682571,-0.527155620793823,-0.490631899688754,-0.432667033944253,1.0135710992911,646,0,1
"alpha3",0.251752140006621,0.0399310570840586,0.174629335854129,0.224309093270422,0.251755155209267,0.279248233205716,0.33048811872897,1.00283221065406,1500,0,1
"alpha4",-0.350727504374099,0.0736592607257177,-0.493573014743397,-0.397599499235128,-0.351754339957076,-0.3018256446385,-0.204799426406431,1.00474818568819,465,0,1
"alpha5",10.0135584809884,0.097499629307866,9.83141110535641,9.9461885895197,10.0138497590332,10.0793652063374,10.2052638935117,1.0018963304355,1500,0,1
"alpha6",4.84421061066748,0.259642164273903,4.34137420448192,4.6657228473841,4.83909700233365,5.03069432258634,5.35094289614034,1.00367157219413,368,0,1
"beta1w",-0.00508876776750292,0.000321704634366577,-0.00562310840960762,-0.00532821724946412,-0.00511315469906588,-0.00488468248256255,-0.00440454303984588,1.00410677761619,701,0,1
"beta21",1.32639816840868,0.121902898141232,1.10880723224149,1.23927170497893,1.3206684479249,1.4079547269286,1.57521396854763,1.01025564093703,146,0,1
"beta31",-0.730841020496999,0.137783345518948,-0.989715606825253,-0.824205101274292,-0.734661114464057,-0.640087034644278,-0.447718532011072,1.00474984113698,712,0,1
"beta32",0.834636186992982,0.0723414483284367,0.692023762525209,0.785185503178485,0.833093046505962,0.881217434600315,0.976804916266153,0.999637141819343,1500,0,1
"beta41",0.542018427176072,0.167859597558478,0.225664651231105,0.42773790780624,0.538937275447723,0.649618429278319,0.884906520401283,1.09198695682079,22,0,1
"beta42",-0.501322567983799,0.0909003875775474,-0.676174448453848,-0.56475770038661,-0.506270256544255,-0.44126969870883,-0.317458366734863,1.0283729957047,72,0,1
"beta43",1.1839198223311,0.0929674355237277,1.00992602075499,1.12041881273693,1.18448912205545,1.24596527019073,1.3641737943022,1.00581325609689,257,0,1
