"parameter","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"alpha1",0.0985452945213086,0.116469946332221,-0.144095648264715,0.0288204680784105,0.100434693480239,0.175542032078185,0.322538529694504,1.00399201292447,429,1,0.819333333333333
"alpha2",-0.560707517226503,0.0532662119299908,-0.665233178711528,-0.594489875141874,-0.563023433595371,-0.525571888121223,-0.457890193511297,1.13779250490725,18,0,1
"alpha3",0.243246270394147,0.0410165490284106,0.164727630543209,0.21559416119831,0.242605046090669,0.270997746160972,0.323276303203027,0.999669423702489,1500,0,1
"alpha4",-0.27857237889406,0.068199668369928,-0.412999257286246,-0.32464968078735,-0.279312496016389,-0.231712106813222,-0.143090281785495,1.0100391191846,383,0,1
"alpha5",9.82232411866194,0.097523530720575,9.63220085109316,9.75791685649531,9.82311027552072,9.88631678078124,10.0169244277327,1.02686963837627,62,0,1
"alpha6",4.67376135902295,0.256040806250486,4.1837658988963,4.49800897347969,4.66770809833338,4.84506863845866,5.21287033144424,1.0078038082241,344,0,1
"beta1w",-0.0047754154127483,0.000288111642841729,-0.00536791018205115,-0.00494862117295381,-0.00478326157233653,-0.0046138396963967,-0.004145353549931,1.00345917896179,558,0,1
"beta21",1.23553864139509,0.121391488844212,1.00566253124016,1.15117896208354,1.23507593379824,1.31705849406031,1.47697478673447,1.00206636606695,1500,0,1
"beta31",-0.660284064868171,0.13697023388268,-0.925347179398816,-0.750870294345645,-0.654456791822571,-0.565017416276953,-0.413942516189744,1.02017804220985,88,0,1
"beta32",0.900995152770256,0.0712200154062747,0.756839206919682,0.854768546964877,0.901179750608938,0.947459040422145,1.03919768245227,1.00404376431342,326,0,1
"beta41",0.62505481804633,0.18869135598709,0.267826927899748,0.495441981297703,0.628735433538563,0.753472628632293,0.994260622191895,1.01966988314392,96,0,1
"beta42",-0.434402729429368,0.089969691432951,-0.610588999932082,-0.493989542451207,-0.432027570722644,-0.375980313872657,-0.263485151579635,0.999448863389226,1500,0,1
"beta43",0.96291662623277,0.0889508702345165,0.787660279261023,0.904169891127408,0.964293701117218,1.0217171899769,1.13234359421235,1.01265241532992,122,0,1
"beta51",1.64963097314809,0.182791953121565,1.29915595677896,1.53367828874276,1.64336872487181,1.76846909581093,1.9958141371708,1.01227231263391,124,0,1
"beta52",-1.12014570456485,0.12953854558492,-1.35361742438491,-1.21444345982092,-1.12387489083375,-1.02959945166108,-0.856409777693353,1.08045144265488,24,0,1
"beta53",0.755019628988183,0.107619995670422,0.548482107892819,0.683525790144844,0.75413408983234,0.825352760213087,0.972348425901663,1.01086430566637,138,0,1
"beta54",-0.666324631487128,0.113613743747719,-0.897111711068789,-0.745792163793814,-0.666179940896421,-0.586338388540845,-0.44606300987169,1.00686108556958,224,0,1
"beta61",1.66745666969233,0.284801840648379,1.14179968573511,1.45248522265452,1.66198927472059,1.87232614088591,2.23147856593353,1.00952250604476,327,0,1
"beta62",0.464400812584127,0.160340866714283,0.155661603358343,0.350985731560154,0.466831694345599,0.573589669908542,0.781714213169075,1.00094358720476,1454,0,0.998666666666667
"beta63",-0.925076683623177,0.147025386450716,-1.2033067304644,-1.02222191299454,-0.932792985698337,-0.821835082007045,-0.630017419064108,1.00309940499364,453,0,1
"beta64",0.788125129963922,0.170532888684665,0.462370520446817,0.670320896989235,0.781559263803933,0.899759021617962,1.12561667956693,1.01051557618311,1500,0,1
"beta65",0.516638758982694,0.0220208468067079,0.472115607472272,0.502477801189722,0.517037939861936,0.531669676565871,0.557466878324253,1.01607608815435,116,0,1
"sigma5",2.98696687504711,0.0305221422242541,2.92975885873597,2.96637456426466,2.98650553809772,3.0070611816611,3.0456940150319,1.0267879490066,63,0,1
"sigma6",3.94304968316299,0.0443888855088993,3.85724981843099,3.91286230351459,3.94266331513505,3.97152129575736,4.03371408205398,0.999645235180844,1500,0,1
"tau5",0.112117957876725,0.00229236980600329,0.107802168750281,0.110589901550115,0.112117486025278,0.11364439582267,0.116502770343937,1.02743351652934,62,0,1
"tau6",0.064342858707358,0.00144741594512511,0.061459616515643,0.0633995548837479,0.0643310464678449,0.06531469002543,0.0672116359904408,0.999692421733929,1500,0,1
"nr_int_1",-0.275534267808197,0.119955875197774,-0.510476835506241,-0.356255983697403,-0.281647004360635,-0.191628898080313,-0.0279440402746542,1.28643530239361,9,0,0.989333333333333
"nr_int_2",0.984491472388299,0.21354632027873,0.561110726558826,0.85638785218222,0.983075376486348,1.12141426086556,1.39986106275323,1.13793814809706,22,0,1
"nr_int_3",-2.1415669738807,0.121243829724681,-2.35643546516986,-2.21781418146678,-2.15106602151208,-2.07180588208734,-1.85397331745962,1.02051458459705,79,0,1
"nr_int_4",-1.81536734868775,0.107181981158611,-2.02371244184604,-1.88942609271427,-1.81155450597116,-1.73783135838298,-1.62099208140498,1.00291273987104,1500,0,1
"nr_int_5",-2.14805048734642,0.116205821400462,-2.38427840848257,-2.22961632070017,-2.14732611823825,-2.07077580316223,-1.92922903750703,1.10494919348527,19,0,1
"nr_int_6",-2.03885124225042,0.128334172757386,-2.27331101526616,-2.13680267707628,-2.04051604621653,-1.94917631475329,-1.7824898883246,1.00244154019052,1500,0,1
"T1_imputed_total",258664.58,11076.5943556046,237056.5,251495,258860,265882.5,280447.75,0.999489456594278,1500,0,1
"T2_imputed_total",1334706.78,31941.2611868892,1278979.5,1310660,1332435,1358375,1396927.25,1.21453413827627,12,0,1
"T3_imputed_total",2141800.78,13229.1464805054,2116364.25,2132595,2142010,2150795,2168097.25,0.999456271909091,1500,0,1
"T4_imputed_total",1874557.38666667,24209.0967023951,1828249.5,1858290,1873530,1891595,1920151.25,1.0085690997156,179,0,1
"T5_imputed_total",32879066.358494,60262.0633945103,32760776.1714038,32837797.7384732,32878806.3874935,32920468.8932359,32997095.0617821,0.999438063355938,1500,0,1
"T6_imputed_total",33435419.8270342,127487.604788501,33187587.865467,33346847.9235714,33437474.5159416,33524146.2721128,33678012.8203715,0.999579674469127,1500,0,1
"deviance",118242.965152593,108.773573185667,118016.431743081,118172.993366089,118244.311799808,118318.248727806,118449.068903412,1.02183255576349,82,0,1
