"parameter","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"alpha1",0.0341523321976415,0.100730297362117,-0.171408990738559,-0.0324937613706235,0.0371566114204036,0.097256252281294,0.238995257467402,1.03959509290524,47,1,0.638666666666667
"alpha2",-0.471007365960443,0.0447371636005303,-0.562782450896954,-0.500160157485142,-0.468341922310613,-0.439677020047423,-0.385684051721434,1.00528622555824,296,0,1
"alpha3",0.207644369634068,0.0421086264785879,0.124289511850782,0.18024564473131,0.206878850193884,0.236393270113284,0.289144855108717,1.00073241805781,1500,0,1
"alpha4",-0.200146320687903,0.0662625121949317,-0.326593414493957,-0.246214289708238,-0.200205796154173,-0.156541747667394,-0.0694657017726013,1.00195109683915,842,0,0.998
"alpha5",9.98148035939123,0.0971789041738468,9.79213900976783,9.91880398635394,9.98161438941477,10.0431817651316,10.1716464136781,1.00252515553038,807,0,1
"alpha6",4.62111549100246,0.254944727391328,4.11622443468055,4.44965199486444,4.62349795280754,4.79933686863798,5.11889886620417,1.00743857152568,661,0,1
"beta1w",-0.00451593555045904,0.000287342733803533,-0.00510250592243846,-0.00469285599379655,-0.00452548903880449,-0.00432810633815773,-0.00393545121252625,1.02637790751947,77,0,1
"beta21",1.04703504484007,0.108922036143794,0.840041247882019,0.973190360764611,1.04588061172483,1.11924064567538,1.26008724903972,1.01353411998943,113,0,1
"beta31",-0.969006157285519,0.13588658954088,-1.22580620200195,-1.05872068376699,-0.971069550449314,-0.88158663674369,-0.681670504998721,1.02203436035273,74,0,1
"beta32",0.954092633438757,0.072479652565911,0.815599040807423,0.902960759545504,0.952512154669961,1.00339768750221,1.09713603103203,1.01749312390419,94,0,1
"beta41",0.331422716838963,0.162752103974187,0.0229356009134295,0.21617190874448,0.324009523053808,0.440408912579901,0.68583555733072,1.00787131134172,299,0,0.981333333333333
"beta42",-0.629885668507046,0.0896305616464189,-0.813623006889067,-0.690045013069108,-0.629751577690806,-0.568544915174373,-0.455262020617092,1.01643350233032,110,0,1
"beta43",1.19799623184713,0.089643341691357,1.01864434123915,1.13802027100761,1.19921188863386,1.25705241040537,1.37457264776678,1.01321462341631,195,0,1
"beta51",2.390808470667,0.195244530997716,2.01625220027207,2.26169682577532,2.38468664082587,2.5224096480483,2.78120854715726,1.03875038107916,44,0,1
"beta52",-1.52101877825672,0.114957605264493,-1.73650957642727,-1.5993447131369,-1.52400996127408,-1.44493238227791,-1.28735289623539,1.02181769783635,150,0,1
"beta53",0.988003717036201,0.110269881800211,0.77209477344579,0.914585583670829,0.98451952993053,1.06224299172647,1.21031817035479,1.03133881133432,53,0,1
"beta54",-0.99483180170401,0.119758375755423,-1.2412521040231,-1.0753425755897,-0.994293465093748,-0.912686820792851,-0.759463148433204,1.00401846311467,327,0,1
"beta61",0.638038765805069,0.318211613937817,0.0138597116517836,0.429373309079765,0.627895990673706,0.845654768285473,1.27706155316423,1.03353770566583,51,0,0.976666666666667
"beta62",0.809454726748781,0.15646991607901,0.511021571075029,0.702262420836904,0.812493695231748,0.916241538773624,1.11487227867837,1.01137651019639,141,0,1
"beta63",-1.25609288156057,0.145053041613487,-1.54123746350874,-1.35182013474275,-1.25338671985942,-1.15465660851306,-0.972855038471583,1.0006544259678,1500,0,1
"beta64",1.12253786316232,0.167827710041965,0.794046193455461,1.00294716201829,1.12229006531546,1.23706576406086,1.46267844699681,1.00071823708636,1125,0,1
"beta65",0.522042002421953,0.0219533739519784,0.480512731286832,0.506583189079594,0.521473048202928,0.537009118767745,0.567074726011588,1.00979123785201,190,0,1
"sigma5",2.97022389143748,0.032947402575975,2.90800735008133,2.94776112188841,2.97025718694461,2.99142582071925,3.03871837374098,1.01249386426278,121,0,1
"sigma6",3.9513651412474,0.0422644880836806,3.86771866799565,3.9240213870595,3.95163198980747,3.97924122822301,4.03395301522713,1.00475122861006,719,0,1
"tau5",0.113391808190107,0.00251335676770898,0.10829767259604,0.111748968754404,0.113347485251162,0.115084126770268,0.118252138850098,1.01253948877638,121,0,1
