"parameter","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"alpha1",0.223445647061063,0.134261932890804,-0.0352307287144958,0.131752403374479,0.220539235511661,0.308345863572261,0.489223586652372,1.02254845331282,72,1,0.944666666666667
"alpha2",-0.497459128672291,0.0515454752308752,-0.592134676983947,-0.53195985612314,-0.497936123456496,-0.462340089070209,-0.398283093261164,1.17196767979713,14,0,1
"alpha3",0.230274643270324,0.0423148639499173,0.145928125781872,0.201387038927907,0.23035482071917,0.259459129213578,0.309965768382578,1.00334816462798,505,0,1
"alpha4",-0.280557833877515,0.0673444742489994,-0.411842162758891,-0.325508210133826,-0.279937843737071,-0.234864258165036,-0.150752154736535,1.00177244357668,1083,0,1
"alpha5",9.87165143952211,0.100570334362836,9.67812389404353,9.80435249718682,9.87260472625061,9.94378242566327,10.0712586688973,1.01416485706643,128,0,1
"alpha6",5.19208807759934,0.258531099207353,4.68443604564252,5.01506646293834,5.18858687911164,5.37302115644387,5.70454572010634,1.00122814433337,1500,0,1
"beta1w",-0.00511327758240266,0.000374113222355816,-0.00583734817906202,-0.00537490200922306,-0.00509549415425393,-0.00483361667710845,-0.00442544371334978,1.01314751533561,120,0,1
"beta21",0.978489003275925,0.115208321610158,0.744003930906626,0.901410662108282,0.975418393826921,1.05787629698117,1.19810071445609,1.00360416850058,428,0,1
"beta31",-0.689554331490923,0.135625336988381,-0.942507506062075,-0.784416980184225,-0.687052292033443,-0.594566422139117,-0.424147911179116,1.00501802407202,293,0,1
"beta32",0.90620911638882,0.072491893558737,0.768776979063407,0.857263849183682,0.903316836411725,0.954555859075594,1.04775513647889,1.00264950271406,1500,0,1
"beta41",0.481533445758297,0.168407525252658,0.140234596347793,0.366451895607576,0.488353859248327,0.6018944354856,0.794239834223682,1.01240664794423,123,0,0.997333333333333
"beta42",-0.517605872537206,0.088311619504706,-0.682385382179896,-0.57737993805055,-0.519246536816873,-0.458042092757661,-0.334848369568941,1.00136530178349,984,0,1
"beta43",1.11003461042813,0.0845670225842302,0.94047621552031,1.05799091609533,1.11051452381755,1.16868234520639,1.27512855763363,1.00008027597367,1500,0,1
"beta51",2.05459553034945,0.191795616999711,1.68538768842435,1.92176789229516,2.05951041258176,2.18061090968397,2.42997538892958,1.00715044163529,224,0,1
"beta52",-1.33744234117629,0.120919625221787,-1.57350854880018,-1.4237381987092,-1.34180564056243,-1.25573926339705,-1.08990730536925,1.0407368961425,43,0,1
"beta53",1.07629942047023,0.108544937139892,0.868563790462651,1.002529185741,1.07478096382431,1.14894944645841,1.29158403280558,1.00394150144335,339,0,1
"beta54",-0.988348499412518,0.127360960538048,-1.24639929625116,-1.0747964364353,-0.990175628138456,-0.904836488287045,-0.73162346761296,1.00337533677678,1500,0,1
