"parameter","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"alpha1",0.370831212374955,0.118789424518351,0.135866391254703,0.293394159413129,0.368178911587968,0.45211800100772,0.599721511985246,1.04845611707286,41,0,1
"alpha2",-0.498383683217933,0.0546203055224938,-0.603306332344084,-0.537580890655488,-0.499679622997714,-0.459491188321611,-0.399219742002037,1.1590885593869,14,0,1
"alpha3",0.185447001513796,0.0412796643893502,0.106757585280357,0.157609883917742,0.184668396754815,0.213720305867192,0.270755667251434,0.999350276055385,1500,0,1
"alpha4",-0.277382363791464,0.0649663343257186,-0.404107101994468,-0.320620653177652,-0.276036675339413,-0.232139783418989,-0.157199434168636,1.00263173529489,1500,0,1
"alpha5",9.92232451570709,0.0993089576425332,9.72378885535138,9.8575213410731,9.92392538021111,9.98952109242332,10.1142075510829,1.02973281065406,56,0,1
"alpha6",4.9889357477598,0.248573634380556,4.51695727769288,4.81824962540416,4.9831969423765,5.15791462335923,5.48222974135467,1.01917499966509,128,0,1
"beta1w",-0.00540496857805936,0.000337390856525722,-0.00604957035913784,-0.00564257251564093,-0.00539337661473769,-0.00519440400760745,-0.00474599172789358,1.09332138840198,28,0,1
"beta21",1.16889296522953,0.116240389133811,0.95294410269402,1.09001850524456,1.16637450241254,1.24298360677105,1.39904322931906,1.04830913046909,37,0,1
"beta31",-0.490968437481382,0.131135934330607,-0.746267204228658,-0.578989267048003,-0.490825089856578,-0.402876322084893,-0.229416526187702,1.00283160451729,1289,0,1
"beta32",0.843596414432981,0.0741575153531738,0.687398659750239,0.796841725399728,0.846927777013661,0.895991931295866,0.980817014262284,1.0067747602146,296,0,1
"beta41",0.174871983322752,0.153270444643177,-0.146812213335536,0.0824867724881012,0.173409537138921,0.276454422145977,0.461382258854798,1.03691044725002,69,1,0.884
"beta42",-0.592239016738732,0.0904030990280768,-0.75982283310009,-0.6526963463908,-0.59451136637477,-0.531802595303402,-0.41504849098118,1.00260823461515,1500,0,1
"beta43",1.1537161858341,0.0873499304821241,0.985748173909524,1.09469040027888,1.15428597555316,1.21493939994273,1.31906959331546,1.00673424461851,342,0,1
"beta51",1.99551484851156,0.170374045590771,1.65863291524239,1.88165140344575,1.99257230225914,2.11278071736956,2.33787010184599,1.00201651864164,569,0,1
