"parameter","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"alpha1",0.256307789514265,0.0978406413423737,0.0771800865743359,0.187103844333854,0.251998702922596,0.31983877639643,0.456067663497383,1.04249450250106,51,0,0.994
"alpha2",-0.440431260858978,0.047035945671513,-0.538674183219624,-0.472011080479615,-0.4369162688427,-0.408134126607553,-0.356472498225859,1.07022717195066,27,0,1
"alpha3",0.194184547524676,0.0403837451268794,0.116539736607935,0.167724813141125,0.193269055561731,0.221454582113181,0.27177304551085,0.999590353266754,1500,0,1
"alpha4",-0.341168147640287,0.0678961095978535,-0.469108111130996,-0.3904454036014,-0.340671616865851,-0.293625233828787,-0.212607878147366,1.00793094625803,1500,0,1
"alpha5",10.0863665560955,0.0934254324331971,9.89771683927463,10.0253540553927,10.0839065553794,10.1499323415833,10.2664842551163,1.00270782890653,454,0,1
"alpha6",5.38213525450894,0.264172228128786,4.86089596511528,5.19558411127116,5.38469094139056,5.56953036047049,5.88206652375159,1.04047194333853,45,0,1
"beta1w",-0.0051115862650766,0.000246364806944294,-0.00559264617719637,-0.00528121475490067,-0.00510977868623388,-0.0049264289733973,-0.00464528534842145,1.05765845965837,32,0,1
"beta21",1.24020330460449,0.110080989575874,1.02359004325468,1.16446351078655,1.24231548579136,1.30716654179672,1.46336019281208,1.00580559578836,445,0,1
"beta31",-0.750718626695518,0.128560085992165,-0.989596400386863,-0.841193874068359,-0.750474089440059,-0.66757682330076,-0.493991194390838,1.02027331519088,84,0,1
"beta32",0.800578652540959,0.0739955089820293,0.653989113478668,0.753511677094513,0.799454970140128,0.851335485992286,0.946422524789942,1.00254760694499,473,0,1
"beta41",0.590648014342774,0.171122714970239,0.283048603419944,0.466048528719299,0.587132585536846,0.710448903730049,0.934506986174062,1.00191456350442,654,0,1
"beta42",-0.473516566882017,0.0855596088849346,-0.644099681252445,-0.531961482862375,-0.47332595733782,-0.417388298095007,-0.302273166689453,1.0090254628305,187,0,1
"beta43",1.06985854669352,0.0855693050283985,0.901401087424509,1.01237440300977,1.06989668195373,1.12964240126688,1.22978305612697,1.0050231955023,409,0,1
"beta51",2.04205570203151,0.181130537677741,1.68544092555022,1.92347803696587,2.04700516477128,2.16281946757974,2.3854069039718,1.00400148132456,973,0,1
"beta52",-1.65174902814495,0.111112694324406,-1.86591881797798,-1.72674489224085,-1.65306286705705,-1.57537779399953,-1.4324735906004,1.00099563966526,917,0,1
"beta53",0.860242546721788,0.107093484293833,0.660229058709396,0.786379341059068,0.860981259544929,0.930934033887495,1.0746223584064,1.00312493997694,1500,0,1
"beta54",-0.951678856821669,0.119637807374332,-1.181976318862,-1.03092222169809,-0.949191069878933,-0.869896726240798,-0.717654052270448,1.05163087164615,35,0,1
"beta61",1.14208021521317,0.292439561724453,0.54644414507485,0.937776951730128,1.15362222071802,1.33415473386546,1.73194694429443,1.01542610058246,118,0,1
"beta62",0.27003318496564,0.162197727847016,-0.0370036611965139,0.160184640972227,0.270379139536481,0.375338915713606,0.598355179168908,1.02923545597155,57,1,0.949333333333333
"beta63",-0.797488098075712,0.151854437475337,-1.11454835742143,-0.901383917055035,-0.800275995745106,-0.693614426362547,-0.506230835774613,1.0019294955319,638,0,1
"beta64",0.594655772320479,0.172911476398892,0.249650862167455,0.478894020326918,0.593759880249081,0.709195183612807,0.936195660184877,1.00433907782439,413,0,1
"beta65",0.450017600357365,0.0228544757146588,0.407008303687253,0.435090717587881,0.449963009403033,0.46571667630016,0.49285814608064,1.04782090618791,37,0,1
"sigma5",2.96050726357405,0.0313690015903877,2.90048845840159,2.93945228125388,2.96051929032177,2.98051075316931,3.02512994842997,1.00658262282934,879,0,1
"sigma6",3.99383484577863,0.0427895169997024,3.90822861187168,3.96417823478034,3.9941085987921,4.02241848720195,4.07806136858861,1.00053870659655,1500,0,1
"tau5",0.114133633190054,0.00241391479522852,0.109272764524681,0.112568949681826,0.114094368688446,0.115735654352038,0.118866018702165,1.00670010959504,795,0,1
"tau6",0.062714684899767,0.00134394439050558,0.060130177658286,0.0618052683413714,0.0626845139934615,0.0636346492864555,0.065469659212636,1.00050637784155,1500,0,1
"nr_int_1",-0.224215808031712,0.115946559614191,-0.435821103197312,-0.304825956327885,-0.235394460385957,-0.148506871176051,0.00841635502791494,1.00384665049261,1500,1,0.969333333333333
"nr_int_2",-0.0562520717404018,0.269337375380703,-0.533864736390956,-0.240558065495869,-0.0839694586978062,0.0870800596528568,0.546419639638405,1.10547814221658,20,1,0.641333333333333
"nr_int_3",-1.7040188348312,0.156356358085406,-1.95558651305683,-1.81837921006221,-1.72335125411097,-1.60357449597026,-1.37149716591881,1.01535198315978,405,0,1
"nr_int_4",-1.78869254315061,0.112441065069488,-2.03210125681039,-1.86604903311618,-1.78695618391992,-1.71148055910647,-1.58112984427666,1.01515895664405,103,0,1
"nr_int_5",-2.14261845620242,0.118447456914353,-2.39345077442564,-2.2130508388946,-2.13582901232312,-2.06664721471316,-1.92805065900673,1.00830467059453,619,0,1
"nr_int_6",-2.32171442468934,0.12607233010864,-2.59233637029229,-2.39372999186347,-2.31399841049478,-2.24249353224827,-2.08004944529446,1.14835733376156,23,0,1
"T1_imputed_total",262510.186666667,10610.5256106525,241534.25,255152.5,262745,269677.5,283136.25,1.00312629938683,1500,0,1
"T2_imputed_total",1376357.53333333,28967.6978281072,1316916.75,1357030,1378300,1396827.5,1429572,1.15964793230299,14,0,1
"T3_imputed_total",2033072.45333333,14083.6044222885,2007004.25,2023262.5,2032640,2042480,2061105.75,1.00121642989779,1500,0,1
"T4_imputed_total",1800287.48666667,23600.6624298537,1752376.25,1784372.5,1800870,1816352.5,1846154.75,1.00118708851421,1500,0,1
"T5_imputed_total",32074020.4377572,64046.5153228293,31941939.8606794,32032628.0026422,32074984.2401934,32116646.7587164,32197450.8543278,1.00230895312309,1271,0,1
"T6_imputed_total",32453862.0058305,125842.204740823,32197894.8646371,32369953.1559201,32452393.3628704,32540527.2608332,32696771.643033,1.00452792383142,802,0,1
"deviance",116631.312543088,149.98596650315,116348.560059172,116525.555976214,116625.215505159,116735.080168865,116921.450954653,1.09300790968671,22,0,1
