"parameter","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"alpha1",-0.00521303631619172,0.129254239965808,-0.237568303267411,-0.101143183220509,-0.0124386931672128,0.0890103312449032,0.251731610885567,0.999451448553365,1500,1,0.532
"alpha2",-0.466420000645218,0.0519445385720023,-0.570254203885236,-0.500050362843401,-0.463438453909536,-0.431060642386744,-0.368072659935094,1.33718642478012,8,0,1
"alpha3",0.214713598203478,0.0398452094239849,0.1367112066859,0.188006822250641,0.214503436538387,0.241278461709549,0.292116982912649,1.01902201028298,90,0,1
"alpha4",-0.347271359885823,0.0719434799112831,-0.495455742886847,-0.391946747128838,-0.347322269765548,-0.29909613933102,-0.209197180350208,1.01147986851345,631,0,1
"alpha5",9.92639118748037,0.0959009030083491,9.74296241158477,9.86064031115814,9.92656658184392,9.99164213917533,10.1184538737159,1.06756221165273,28,0,1
"alpha6",4.64736364425244,0.234129027515808,4.17808763044677,4.4955382925749,4.64944827552956,4.80528619784023,5.11608724973271,1.01083445520001,147,0,1
"beta1w",-0.0045937537789812,0.00039878735908393,-0.00538320612581353,-0.00489309769434285,-0.00454919486119544,-0.00430595391221055,-0.00389195125252442,1.01910318339765,83,0,1
"beta21",1.25711135715201,0.120571435334217,1.03849203461221,1.1717702217702,1.25974885093782,1.33298178091513,1.50268980122734,1.02196595088714,86,0,1
"beta31",-1.01313514899501,0.159233773132392,-1.32696796652526,-1.11192187604886,-1.00286238625935,-0.900429684469192,-0.743994836343504,1.03572974617699,53,0,1
"beta32",0.934133311996392,0.0776042040741151,0.787768276862552,0.880204766745086,0.932360053828531,0.986911205898498,1.08682725289998,1.04347017165263,41,0,1
"beta41",0.667533864631134,0.193319872342608,0.292312389482514,0.538052096780305,0.667911430390824,0.803043896581277,1.07201299025653,1.01671204218132,146,0,1
"beta42",-0.526842156453703,0.0868447592949229,-0.697336193757537,-0.584797792396014,-0.523944297665389,-0.465839277181739,-0.356443746431663,1.0027671921978,1500,0,1
"beta43",1.25774104257596,0.0953603453620189,1.07962429285903,1.1900433017026,1.25341832691607,1.32160117009451,1.45190444889499,1.00384084831933,1500,0,1
"beta51",1.90841401709393,0.186180395951937,1.56698824730392,1.77720485095363,1.90973934114875,2.03268714220236,2.2740748346772,1.00079232133695,1038,0,1
"beta52",-1.45175260407281,0.108429458469921,-1.66760151420517,-1.51925765853107,-1.45194577804556,-1.37801396600815,-1.24810124883542,1.06040665478613,31,0,1
"beta53",0.898693219177824,0.110038385328326,0.676277683945955,0.828189958182514,0.897297898146232,0.971992385983701,1.11105411040029,1.00298323427779,1500,0,1
"beta54",-0.823420258132707,0.122123096956223,-1.0603429011796,-0.908482103017518,-0.824756244416508,-0.739680249860065,-0.585931725649422,1.0015988025013,756,0,1
"beta61",1.09109540987268,0.308377643098261,0.465592375711359,0.887108004790584,1.1022154234507,1.30578278387731,1.65905866830139,1.01333903991012,142,0,0.999333333333333
"beta62",0.393689065328182,0.150153567278266,0.104255243730661,0.289716217821361,0.394756456671262,0.493804966606623,0.684009914227992,1.02024215701191,80,0,0.996666666666667
"beta63",-0.909794152624071,0.153248950547755,-1.20628525327923,-1.01198594949662,-0.910264533050262,-0.804915830119585,-0.612836135704895,1.01454391708367,108,0,1
"beta64",0.870211520785501,0.168103849699517,0.565372883381738,0.753630638524726,0.865818163639937,0.98678164426831,1.21822325149946,1.01460209784108,108,0,1
"beta65",0.513443217533537,0.0206244560350089,0.474483476725929,0.499804328575057,0.513417129578425,0.526973500936147,0.553743578608527,1.0076399250152,382,0,1
"sigma5",3.00960470005292,0.0317462052360305,2.94517455121598,2.98933365769765,3.00876656648622,3.02942965213189,3.07373520852173,1.01359256968197,112,0,1
"sigma6",3.99759466022029,0.0457457369949998,3.91023182141461,3.96574723801722,3.99821327424098,4.02884157492056,4.08981619432355,1.01054704836786,878,0,1
"tau5",0.110439857658557,0.00232814871950355,0.105844207702888,0.108962800340471,0.110464571171658,0.111905444341985,0.115286358896937,1.01352729523657,112,0,1
"tau6",0.0625997807102523,0.00143128390020857,0.0597850256889506,0.061608355993173,0.0625558726480286,0.0635843065567733,0.0654025964239241,1.01091264768518,765,0,1
"nr_int_1",-0.269974116437666,0.116508589101552,-0.513134173115504,-0.343566319948446,-0.26781430224535,-0.196148803857653,-0.0505365400734043,1.06154255469697,31,0,0.987333333333333
"nr_int_2",0.05958186750602,0.247112576763925,-0.377992967535802,-0.129405578233035,0.0698193047606417,0.215371168082407,0.575925959014042,1.59946732375218,5,1,0.588666666666667
"nr_int_3",-2.14298867108217,0.139181973956562,-2.42507735558602,-2.22997693393678,-2.14038390213144,-2.03918209136045,-1.89220089174997,1.00722740873457,425,0,1
"nr_int_4",-1.79470640847367,0.114923756690844,-2.01592107269733,-1.88139654475797,-1.78680315762145,-1.70979690716575,-1.59586460268458,1.26394751715719,10,0,1
"nr_int_5",-2.07230308169334,0.118190512800185,-2.32638578125865,-2.14567707855368,-2.07234991714678,-1.99592731445241,-1.85505025714416,1.05092757447706,43,0,1
"nr_int_6",-2.22289906411722,0.112246903130517,-2.42566632060768,-2.30273083455997,-2.22967802118455,-2.14635092255101,-1.98967637608979,1.00611580956876,237,0,1
"T1_imputed_total",245737.173333333,13232.5517025123,220930,236747.5,245635,254282.5,271916.25,1.04704483646762,38,0,1
"T2_imputed_total",1359841.62666667,28393.7085674174,1304064.75,1339685,1362630,1380117.5,1408331,1.55846775517496,6,0,1
"T3_imputed_total",2066669.32,13386.6120754845,2040619.5,2057470,2066505,2075715,2091551.5,1.00060078325152,1500,0,1
"T4_imputed_total",1877034.66666667,23596.7672299553,1832403,1860922.5,1876270,1892370,1922300.25,1.00033631483161,1500,0,1
"T5_imputed_total",31997954.4694644,64764.4603510862,31871014.9285372,31953277.5099905,31998639.8894278,32040677.0137967,32125717.2321718,0.999744079928457,1500,0,1
"T6_imputed_total",32536283.2951915,132649.676710851,32275415.4896903,32446409.6333964,32538631.3483988,32622089.9969303,32802969.9656881,1.00452486256572,297,0,1
"deviance",115683.508752752,129.745711765598,115421.676537709,115594.950341332,115682.598184739,115775.700122286,115930.167191655,1.13200774367697,16,0,1
