"parameter","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"alpha1",0.0523884661803684,0.103330785788014,-0.155717149197867,-0.0194742448847881,0.0527690441976322,0.124006561113082,0.256560438880902,1.04924776900556,43,1,0.693333333333333
"alpha2",-0.54274010328433,0.0534574156854555,-0.648029249201195,-0.576982193493429,-0.541007272250343,-0.506161457667819,-0.443511953296415,1.08870081896847,38,0,1
"alpha3",0.160868958656992,0.0392470292253134,0.0852881161013606,0.133881771855693,0.15946910651791,0.18716312440385,0.239806785751572,1.02911390417023,59,0,1
"alpha4",-0.388536467862929,0.0688338850833085,-0.522341712563377,-0.434730586140523,-0.385222349334485,-0.339897730923559,-0.258837247400946,1.0012882681077,870,0,1
"alpha5",10.0728381647332,0.0959372670438098,9.88138757675058,10.0111874638305,10.0755272957111,10.1398599332024,10.2577578448649,1.01483254796788,110,0,1
"alpha6",5.39000198126459,0.259109586374073,4.90038805740403,5.21721968611727,5.39044534154383,5.55385691350155,5.89766175666511,1.00037575644209,1481,0,1
"beta1w",-0.00448150037762063,0.000269803765304305,-0.00497567822791595,-0.00467388011991458,-0.00449023730991898,-0.0042865265071852,-0.00394178790008023,1.04766069350785,40,0,1
"beta21",1.30034504837359,0.128057833036521,1.0559377632406,1.2089234577343,1.29618628645676,1.38860695358101,1.56295904301339,1.00809720335714,432,0,1
"beta31",-0.727670010515427,0.132294931815013,-0.988235239600969,-0.819128336096601,-0.726991477810741,-0.635849512344422,-0.46758201007478,0.99978933276419,1500,0,1
"beta32",0.963347688922108,0.0735218549431767,0.820253158276054,0.914840971965343,0.964537212502457,1.01078554743317,1.10563610284002,1.00819225532525,177,0,1
"beta41",0.85919779817675,0.184024157038748,0.499519859579157,0.734111042338741,0.858034335721404,0.977902633399757,1.21262220001694,1.05475152302944,34,0,1
"beta42",-0.538039977538043,0.0873022811720723,-0.711123135780026,-0.594927516409108,-0.541014096256397,-0.48322804440108,-0.359436380290551,1.04984967800177,36,0,1
"beta43",1.17192740857184,0.0863761907800075,1.00148649689366,1.11194939047764,1.17048272490858,1.23156180812457,1.33609384013963,1.01880373767768,94,0,1
"beta51",2.20424410106622,0.175881016105429,1.84989421733918,2.08907148468392,2.20566911974906,2.33064266373782,2.5324838535631,1.02619594499931,63,0,1
