"parameter","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"alpha1",0.207546090714213,0.115665676774627,-0.00933993823981488,0.131950386669415,0.201254411844197,0.275932488266317,0.457939245609592,1.04155828612737,1421,1,0.970666666666667
"alpha2",-0.46517601710695,0.0468177519607056,-0.552141319108962,-0.497919283838087,-0.465965176689104,-0.434145236345593,-0.371664064518746,1.0014953539548,1500,0,1
"alpha3",0.160235777342602,0.0385358610971402,0.0832943155662484,0.133229091246685,0.160346092410747,0.186793644778255,0.236520983090355,0.999448161243093,1500,0,1
"alpha4",-0.281443184007185,0.0609717273328104,-0.402762064766065,-0.322651726550977,-0.28091664497225,-0.23973004594535,-0.163103377436592,1.00073076368926,1500,0,1
"alpha5",9.96792794586961,0.0959072972425929,9.77573843617213,9.90540515365827,9.96782367806419,10.030335618339,10.1580115083283,1.00617444687387,601,0,1
"alpha6",5.00424622315013,0.244573070890847,4.52973001796649,4.83713448590706,5.00563832607426,5.17376160301725,5.46394330580724,1.00647215450259,281,0,1
"beta1w",-0.0050118018492878,0.000310747811506159,-0.00570678495714658,-0.00520223534415869,-0.0050029649337829,-0.00479985356262592,-0.00443967581110705,1.06685032534843,36,0,1
"beta21",1.20926157212086,0.121952509362714,0.974676438110693,1.12241002285964,1.2093687371701,1.29469728393126,1.4465190747499,1.00026501567378,1500,0,1
"beta31",-0.62064868908855,0.140535836963665,-0.902210195417787,-0.71750104930085,-0.614937917421002,-0.522233460754626,-0.348441214048842,1.02188736354823,87,0,1
"beta32",0.819198296576446,0.0680856053011464,0.691836857146226,0.772851253313838,0.818283161659096,0.862198081516144,0.959845633633859,0.999684305311477,1500,0,1
"beta41",0.402655959764836,0.15641777812218,0.106460898796665,0.289992323103677,0.399972590033666,0.509042101465277,0.710086195443778,1.00031761805721,1500,0,0.996666666666667
"beta42",-0.445919155204124,0.0815065377275612,-0.609759492313522,-0.499589722339196,-0.444156211155755,-0.389163430313971,-0.283190995741189,1.00262026242413,1500,0,1
"beta43",1.03678756568307,0.0761009285320975,0.89284150863712,0.985050814118028,1.03738695838625,1.08837268700107,1.18611588407247,1.01274038500664,121,0,1
"beta51",1.97298570743751,0.179372924491948,1.63202347682301,1.85283910555143,1.97146229802385,2.09207943487635,2.3432217537653,1.00485715516327,1500,0,1
