"parameter","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"alpha1",0.299058208117259,0.111841477794188,0.062220987318632,0.228007916242288,0.296817310887063,0.375718792300858,0.511886052685712,1.02597754072779,121,0,0.992
"alpha2",-0.496883069645718,0.049476442395797,-0.593783054196711,-0.529690826959435,-0.496544568714475,-0.464738988329162,-0.402433745226988,1.26316748636845,10,0,1
"alpha3",0.136575886886287,0.0422659264546164,0.0531253276845054,0.108269683526547,0.136967049060095,0.165941203503566,0.21792684345701,1.00947020445371,161,0,0.998
"alpha4",-0.298216365650667,0.0688851419837241,-0.433071886412572,-0.343710134021146,-0.297578366868187,-0.253026136177956,-0.164621806927604,1.00244013036296,1178,0,1
"alpha5",10.1933598308116,0.0982109681016714,9.99600827751577,10.1260153906731,10.1942601425871,10.2647207570391,10.3778870172345,1.03726286039963,48,0,1
"alpha6",5.47432611343293,0.251410043104595,4.97123025750493,5.2980915035895,5.47651850092576,5.64775667867584,5.95851522261393,1.00237205034129,537,0,1
"beta1w",-0.00518729266926927,0.000324049513473864,-0.00583718264931448,-0.00540477990290911,-0.00516842808231434,-0.0049676383695452,-0.00454469981859876,1.11600340520599,22,0,1
"beta21",1.27308861768795,0.136052373359191,1.03037776286081,1.18303806251383,1.26658426743254,1.3583359036515,1.55124666777065,1.00449202798693,630,0,1
"beta31",-0.715330370970466,0.135546060938049,-0.993316901726758,-0.807726102358872,-0.707347281776477,-0.620581461234484,-0.467143454995976,1.01040378921044,152,0,1
"beta32",0.996313500726483,0.0783319851145046,0.843067669052081,0.945090711842452,0.995505547427249,1.04912489320233,1.15562194208331,1.01766447356695,140,0,1
"beta41",0.618299398314131,0.181417104884308,0.248808557000708,0.502420707788851,0.620159269663185,0.741461047442726,0.963620701189172,1.00968899296055,257,0,1
"beta42",-0.561667156012813,0.0885764570643242,-0.742218145460891,-0.620174151422338,-0.561663344075265,-0.502246793770051,-0.381771927282176,0.999387293430179,1500,0,1
"beta43",1.0654558641564,0.0866668524720932,0.898924245605276,1.00459673033821,1.06693329215277,1.12469670492175,1.2370590811479,1.00206908500188,1500,0,1
