"parameter","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"alpha1",0.108194937576648,0.119799089198259,-0.105586297775925,0.0221705930870219,0.101707999564589,0.194525407103563,0.342986070039926,1.54065138481495,6,1,0.806666666666667
"alpha2",-0.430959013852142,0.0531915890233919,-0.535149741404571,-0.466998176335199,-0.430950141030037,-0.395922952673479,-0.330585474682997,1.01082101100626,1126,0,1
"alpha3",0.21755805246718,0.0435066646375716,0.134278223788492,0.186755446045957,0.218030791037005,0.248167539747562,0.302792256132155,1.01270533514176,178,0,1
"alpha4",-0.347239425536421,0.0715222775363536,-0.480980840025519,-0.397712418669893,-0.346970812646045,-0.299610911775068,-0.201518886171481,1.00061828685006,1500,0,1
"alpha5",10.0396888028485,0.10152519598835,9.84742745096101,9.97259396829517,10.0391968017628,10.1090172901194,10.2395489460921,0.999674479553849,1500,0,1
"alpha6",5.08350529144601,0.254032463070701,4.57610623083089,4.91606303941835,5.0862994034331,5.25694484149434,5.5681651590303,1.01661186017894,153,0,1
"beta1w",-0.00462559358783116,0.000324584342640951,-0.00520612702497493,-0.00488882776539224,-0.00461835197799995,-0.00437055836949514,-0.00405736524912869,1.79072693115146,5,0,1
"beta21",1.02568642922755,0.116824760446026,0.798604649972544,0.945558233111994,1.024499655542,1.10469259242418,1.26391997872434,1.0262823941292,62,0,1
"beta31",-0.977035690997797,0.136695894319235,-1.23903607790167,-1.06896140201305,-0.977997448737541,-0.878654332614032,-0.715954471042221,1.01379409897337,130,0,1
"beta32",0.883866486596572,0.0729771789972589,0.736837580358017,0.836469357955024,0.88441787794147,0.93458679097695,1.02502861080511,1.02837077939452,58,0,1
"beta41",0.739666203283495,0.16497722883444,0.422470231059387,0.624218323234082,0.735121461058889,0.850247895503334,1.06317764798631,1.01540649285646,100,0,1
"beta42",-0.632026229593375,0.0885928535765774,-0.802441083284516,-0.69494142084478,-0.628721713241523,-0.572122388521366,-0.462151768805603,1.00703403407449,215,0,1
"beta43",1.20730969012271,0.089672604807876,1.04324376872623,1.14578179169385,1.20408412228553,1.26637024440764,1.39270015474008,1.01044052323744,759,0,1
"beta51",2.22882042591613,0.188281318659677,1.8547518070587,2.10254689373005,2.2325545239945,2.35924202050739,2.57552387889076,1.05387714395931,37,0,1
"beta52",-1.4910965700178,0.115369240384162,-1.71340621884624,-1.56804173056872,-1.49635935558996,-1.41731448099575,-1.25644993764859,1.00549602795027,394,0,1
"beta53",1.00592852280577,0.110569754002433,0.786963791409733,0.936033593184034,1.00568657117389,1.08438736619828,1.21852823612998,1.00628020323591,225,0,1
"beta54",-1.1400206305725,0.122001388634254,-1.38013620285128,-1.21972057124904,-1.13919337106566,-1.05653626304957,-0.902062325465412,1.00490787100055,279,0,1
"beta61",0.881049646045936,0.285981397890068,0.274725555117963,0.68605947848438,0.885183973624388,1.07430441761741,1.42659226925931,1.01549062642487,112,0,1
"beta62",0.502156468731403,0.155131482225304,0.193094926447446,0.39291169430158,0.499844502818395,0.60926222225886,0.81058827625403,1.00111175667518,865,0,1
"beta63",-1.25693978940701,0.153605189709389,-1.55288083159987,-1.36154695572769,-1.25511048932223,-1.15494378650308,-0.955231406731179,1.00085956957272,1357,0,1
"beta64",1.01818425885063,0.172976587398247,0.663029379533105,0.904255404973164,1.0188473288174,1.13392538720878,1.34857550879789,1.00512900094909,634,0,1
"beta65",0.492508330867002,0.0220784558534938,0.449802042757983,0.477445536197962,0.492068244417667,0.507352935109013,0.537390891414937,1.00980422660555,1500,0,1
"sigma5",2.95237464182481,0.0339858581172529,2.8869861302417,2.92857097950137,2.95339687467593,2.974598280608,3.02156926487577,1.00326648170132,673,0,1
"sigma6",3.97637228155875,0.041595800919118,3.89472643417833,3.94843787552038,3.97768765317794,4.00417630596416,4.05668630128159,1.00870731417546,170,0,1
"tau5",0.114770322017086,0.00264283094503287,0.109530455763861,0.113016890700735,0.114645332463975,0.116597299767183,0.119980482903349,1.00358876081319,639,0,1
"tau6",0.0632657212840755,0.0013244322988616,0.0607655103407645,0.0623696945751871,0.0632031386240599,0.0641430170294072,0.065924384560815,1.00856648546953,171,0,1
"nr_int_1",-0.0725452951229626,0.141785766043582,-0.339398927182968,-0.174883768339699,-0.0794795007340377,0.03078124506324,0.199543029543106,1.0814170804524,24,1,0.684666666666667
"nr_int_2",0.581637628343089,0.240107069816527,0.0837702494404023,0.423749533922061,0.598028599856484,0.753934339885384,1.02528336714991,1.00655246524055,215,0,0.991333333333333
"nr_int_3",-2.00787673312298,0.14019056007598,-2.27198278412055,-2.09351480078605,-2.00675561920482,-1.92756264777363,-1.69300123587284,1.12177735982662,158,0,1
"nr_int_4",-1.74832305143371,0.0991666596926434,-1.93571427765988,-1.82149808317227,-1.74645134622423,-1.67648257020599,-1.56331015879577,1.16055675692677,14,0,1
