"parameter","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"alpha1",0.178490825085845,0.115862845480093,-0.0343478918399526,0.0973115879058238,0.175310363944215,0.258663241336473,0.402043662024599,1.04788564523732,50,1,0.941333333333333
"alpha2",-0.52119364688108,0.0536342471183262,-0.625199163077943,-0.555145926837341,-0.520739274470043,-0.488842573637344,-0.408698545212906,1.17982322890867,14,0,1
"alpha3",0.094963984050124,0.0393712404036211,0.0190641009278453,0.0687335244297175,0.0943680296926073,0.123151183572935,0.169777829187584,1.00398110844798,537,0,0.99
"alpha4",-0.378973180240418,0.0631765333196538,-0.504544388931839,-0.420454884052185,-0.380761831130489,-0.334901687165469,-0.259237096598609,0.999754632169556,1500,0,1
"alpha5",9.9105650354635,0.0956535284807281,9.72029708033202,9.84863507307484,9.91062629374412,9.97391231157892,10.1002640290121,1.04186444436642,46,0,1
"alpha6",4.73505509210252,0.240029383427531,4.26470715367919,4.56983553153652,4.7367703398607,4.90101279254394,5.19256668305215,1.00594798227709,234,0,1
"beta1w",-0.0049155398696289,0.000305085391724722,-0.00549834396588051,-0.00513101221494553,-0.00491618599015668,-0.00470735592600975,-0.00430209693470896,1.18044191147343,13,0,1
"beta21",1.22109749909307,0.118822315445481,1.00974695635741,1.13575039478655,1.21764368794811,1.30462543736269,1.46890800894339,1.00695577443994,244,0,1
"beta31",-0.777162139200808,0.144429304912941,-1.05272583484632,-0.872085993678947,-0.777065620141615,-0.680102963541378,-0.493190332572198,1.00115519077419,893,0,1
"beta32",1.00191531038126,0.0727305941775841,0.854531912193511,0.952455940865662,1.00375876187716,1.05322499247689,1.13850188517809,1.00168123706524,1500,0,1
"beta41",0.58834403438578,0.180973300719776,0.234215001367642,0.467085932328583,0.585250646586312,0.705773069459644,0.967025143841609,1.00081406663182,1500,0,1
"beta42",-0.656028458878701,0.0904880483502786,-0.841034986480052,-0.712475188779475,-0.654004672041012,-0.591969267734554,-0.485693441759077,1.00994267911907,1365,0,1
"beta43",1.29659937082619,0.0943000348779479,1.10235326166085,1.23533724921654,1.30020954211285,1.36316366137752,1.47525715840291,1.00145640762308,1500,0,1
