"parameter","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"alpha1",-0.0639256705723146,0.120008791247464,-0.294674223442599,-0.143908017668863,-0.0720368564426626,0.0119959293846839,0.17782970553572,1.01118333381671,173,1,0.718
"alpha2",-0.517003724084205,0.0480763079637851,-0.618978500340136,-0.548526422654936,-0.51667363816561,-0.48170026003124,-0.429795635528356,1.07043517404327,29,0,1
"alpha3",0.162602319441137,0.0399345134241256,0.0857866514806178,0.135866231317764,0.162973062988654,0.188798306147785,0.24148051671558,0.999515493808371,1500,0,1
"alpha4",-0.294516712022643,0.0680898001936196,-0.430748977918795,-0.339764695382149,-0.295431929812719,-0.247781108454242,-0.15917328583438,1.0008840727544,1500,0,1
"alpha5",9.90947129003879,0.0945771278645757,9.73055157842503,9.84611762057287,9.90862249408184,9.97654107683126,10.0949175318857,1.00186008135648,710,0,1
"alpha6",4.61671131941484,0.241488956000763,4.15360803877176,4.4517157257837,4.60614388256392,4.77484696884946,5.1007054550161,1.01975425411704,87,0,1
"beta1w",-0.00435657500941289,0.000327395668893051,-0.0050360034447188,-0.0045643133573293,-0.00433271051675617,-0.00413172172320496,-0.00374459254404819,1.06334534135188,30,0,1
"beta21",1.18347219343318,0.127291548376787,0.937735684056943,1.09668197880363,1.18217652396365,1.27446609190547,1.42909130288076,1.03178931531314,53,0,1
"beta31",-0.926858247804177,0.163193253118229,-1.26470319293288,-1.03056661739432,-0.917948773621155,-0.812788629851759,-0.627520683976349,1.02606972951821,63,0,1
"beta32",1.01709346413518,0.0807108604166601,0.866919000229067,0.961931537476385,1.01508695452351,1.07107934028869,1.17690232653818,1.01172787450757,128,0,1
"beta41",0.448918807047055,0.181126612412162,0.0793284283527266,0.331954237960039,0.449898935718109,0.566166250799786,0.800694277610571,1.00060382441088,1233,0,0.992666666666667
"beta42",-0.672401802837375,0.0886387074984319,-0.849673391457443,-0.731350941219624,-0.671520552434649,-0.610052170675627,-0.507329616144865,1.02831103840542,67,0,1
"beta43",1.12143750933379,0.0848173558438216,0.950735709424702,1.0660244806932,1.12228542437912,1.17726485244942,1.29039909486312,1.00849979607836,276,0,1
"beta51",1.94593700429671,0.190001770929204,1.5889381202625,1.82307967034316,1.94852942390086,2.07188132613425,2.32603703294804,1.00122948294941,813,0,1
"beta52",-1.46577054446314,0.110326555079469,-1.66900878830342,-1.54297887498864,-1.46618150938154,-1.38788236620921,-1.2490940479259,1.00177828879596,786,0,1
"beta53",1.0852921426101,0.109761676743738,0.86453894476429,1.01453504858442,1.08589384743297,1.15309678134126,1.3057953305085,1.00749006436149,195,0,1
"beta54",-0.982695099596622,0.125765048759823,-1.22543352025064,-1.06511447478234,-0.986496670055158,-0.899946865209336,-0.734440201508645,1.01119466562511,134,0,1
"beta61",1.09117936071698,0.30697805874095,0.461147215456972,0.878454547731383,1.09762330834899,1.30445408461959,1.68470986982526,1.01116329484463,148,0,1
"beta62",0.712706315044552,0.160883632005034,0.393672179682371,0.601976201149355,0.70967911013528,0.819553136337946,1.01783777642413,1.02588127179514,63,0,1
"beta63",-1.17882963891749,0.159452745512061,-1.48535403324735,-1.28948859609321,-1.18093498910075,-1.06828227937152,-0.861920623912599,0.999819058260989,1500,0,1
"beta64",0.764102459166564,0.16812662055157,0.423598467544858,0.652731208406823,0.763796478355724,0.875399333288541,1.0974668597297,1.0037154115792,1500,0,1
"beta65",0.549720107263359,0.0212558287314155,0.508581456467486,0.535854638842789,0.550187293474226,0.564523096790407,0.590493388945777,1.01664425351653,98,0,1
"sigma5",2.97837716446148,0.0324771918386223,2.91758201245496,2.95567586087612,2.97899782075423,2.99962072469937,3.04379849587261,1.02249574293529,75,0,1
"sigma6",4.02715152792788,0.0439082403597068,3.94496138911873,3.99528970843916,4.02824174421144,4.0549722808641,4.11149801635675,1.01550475178026,110,0,1
"tau5",0.112770502388647,0.0024613371909099,0.107936469249358,0.111139210921646,0.112683318653807,0.114468605118574,0.117477279549923,1.02211082079214,76,0,1
"tau6",0.061682051763533,0.00134497207173212,0.0591561404037914,0.060816891772734,0.0616267051110788,0.0626474570264341,0.0642561182600227,1.01617021381185,108,0,1
"nr_int_1",-0.175391054423791,0.147225802440271,-0.456103720772468,-0.278329209626842,-0.176129997451877,-0.088420174207628,0.128204740696638,1.0026293866672,1500,1,0.88
"nr_int_2",0.644349896761364,0.196377961345261,0.24952345321018,0.496983137028026,0.650922305994777,0.789095741198334,0.97903797850196,1.07853644955575,32,0,1
"nr_int_3",-2.13910267745006,0.145593433820725,-2.41178302851627,-2.24015351743988,-2.14462533150848,-2.03280919699524,-1.85159437710966,1.08790325030575,24,0,1
"nr_int_4",-1.89692245889432,0.100923332270962,-2.09417858719228,-1.96815443620557,-1.8950093776909,-1.82414396139479,-1.71804539647179,1.00193233831195,586,0,1
"nr_int_5",-1.93282862565739,0.103728191614837,-2.13468257291532,-2.00609523105942,-1.93512232484281,-1.86173539033452,-1.73383894000304,1.01993616446003,80,0,1
"nr_int_6",-2.29858592709622,0.118431336723806,-2.56340209413384,-2.3714797210178,-2.29334987630856,-2.21291175229078,-2.08047097566208,1.01798990092123,1500,0,1
"T1_imputed_total",257242.72,12119.8064288798,235379,248917.5,257050,265467.5,280590,1.03895919023321,46,0,1
"T2_imputed_total",1344194.82666667,26452.0637850612,1289622.75,1326715,1345920,1363855,1390720.5,1.05264245764011,54,0,1
"T3_imputed_total",2088004.66,13439.4624763109,2061361.5,2078662.5,2088085,2096860,2114574.25,1.00466072443205,294,0,1
"T4_imputed_total",1817688.01333333,25062.0794815284,1769118,1801195,1817725,1834742.5,1866841.5,1.00015515888138,1500,0,1
"T5_imputed_total",32395980.192472,60395.7616589671,32278781.469732,32354748.5395082,32397331.4040229,32437103.4735966,32517795.8680048,0.999855988976919,1500,0,1
"T6_imputed_total",33551908.6374433,125421.66638064,33314467.4166224,33465224.7325187,33548151.0060512,33637667.8305916,33799639.035811,0.999474630971745,1500,0,1
"deviance",117580.596931947,113.984988316899,117353.747408637,117508.342542694,117581.042862613,117657.757997767,117787.738734121,1.00886071766709,174,0,1
