"parameter","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"alpha1",0.0960163075449191,0.114256582106849,-0.11824546587791,0.0192993542019851,0.0943739719804678,0.165995910835444,0.346911745858133,1.11811405378045,18,1,0.804
"alpha2",-0.466931441792057,0.0474115774932286,-0.55526942225159,-0.500249228837745,-0.46888888908945,-0.434704784369286,-0.373701580221563,1.03621739319109,49,0,1
"alpha3",0.247076408925815,0.0408965993311176,0.168864509514821,0.218156399492024,0.246797358419729,0.274910880205194,0.3259924820603,1.00207911344035,616,0,1
"alpha4",-0.245708349341176,0.0695603329047036,-0.389020995281051,-0.291600163066486,-0.24519968054342,-0.196752461509739,-0.112323755374173,1.0017398211805,632,0,1
"alpha5",9.99593739758449,0.101966650544078,9.79165614666715,9.93043808511328,9.99562206505392,10.0642990638292,10.2061892319921,1.00013255757965,1500,0,1
"alpha6",4.96568223724584,0.242246980593368,4.48048308392962,4.80098233434251,4.96643092181158,5.13419032977674,5.42211355186296,0.999613001706969,1500,0,1
"beta1w",-0.00470323662878564,0.000323448599279691,-0.00537935449428326,-0.00490695031413647,-0.00467553711497531,-0.00448925393892382,-0.00408405099647614,1.10607612532322,19,0,1
"beta21",1.19300307751164,0.118192685569857,0.971055621199996,1.11246605828846,1.1912677871651,1.26763172682403,1.4345405574327,1.00028149455627,1500,0,1
"beta31",-0.74674783537738,0.146238753817801,-1.03243019758685,-0.839094313285278,-0.745019220962694,-0.652052900240906,-0.465939669536643,1.02727129956606,222,0,1
"beta32",0.906610510021246,0.0742137249834947,0.760465770267163,0.854297094959855,0.90699310373035,0.957921517655176,1.04594773052792,1.01582290922366,118,0,1
"beta41",0.538211926415068,0.179575901630341,0.217254127734005,0.415135074065871,0.52645074815226,0.65413642023786,0.902101802038221,1.01616071310719,113,0,0.999333333333333
"beta42",-0.619657848840508,0.0862282522125738,-0.792398033945937,-0.677910640077256,-0.618857056329339,-0.560732838499316,-0.451745742600824,1.00676139255068,219,0,1
"beta43",1.15653856313811,0.0869387318662537,0.990570925665023,1.09989067692407,1.15349470014544,1.21314800463278,1.32921461829513,1.00341229353368,1327,0,1
"beta51",1.96672315018216,0.185110452618495,1.60689327043314,1.83884848383705,1.96620069381723,2.08609805082375,2.32389982597387,1.04031485659694,43,0,1
"beta52",-1.49380103870637,0.111035332398254,-1.71744315258327,-1.5652115073807,-1.49569822220419,-1.41404191599342,-1.28942999628044,1.01004635760901,180,0,1
"beta53",0.984400523528935,0.109182585257068,0.772563214670312,0.909489411350308,0.983245837134608,1.05700753593998,1.204147822004,1.00166206605127,1500,0,1
"beta54",-0.765064212400861,0.125896118368521,-1.02190899192502,-0.848012566063145,-0.764156520417231,-0.675744346311478,-0.52492909523873,1.00706468489961,207,0,1
"beta61",0.989551649740866,0.287534922564566,0.417338324639511,0.79000991736366,1.00906996210988,1.19589303978706,1.51511901551966,1.011006564173,135,0,1
"beta62",0.449184974860664,0.148297682516948,0.154196974244952,0.35413498207145,0.44772174858084,0.545159024178064,0.758282652322847,1.01487673530099,104,0,0.998666666666667
"beta63",-0.972094629864931,0.148910002615085,-1.26938780819167,-1.07396165129919,-0.970007201985493,-0.871054559284658,-0.678992619450041,1.01238875598106,125,0,1
"beta64",0.60758936552858,0.169807615137567,0.275539366641605,0.491545566902744,0.606680879407501,0.722521189297119,0.933502642810909,1.00177474166652,736,0,1
"beta65",0.511490796776687,0.0208070768687422,0.471413013302126,0.497790875980623,0.51040505950498,0.525763446901583,0.553090302197224,1.00046212631284,1500,0,1
"sigma5",3.0331029728316,0.0337725600650373,2.96860782295093,3.0110163584578,3.03376798632798,3.0551740857894,3.10019998106093,1.00086529237563,1500,0,1
"sigma6",3.9189810839177,0.0415099862505553,3.83406455689656,3.89142106760962,3.91852920493795,3.94586861267239,4.00167717221491,1.00715028440972,571,0,1
"tau5",0.108739457117549,0.00242275843635643,0.104044876761491,0.107134186782378,0.108651386243607,0.110299557636595,0.113473472609075,1.00123959015076,1500,0,1
"tau6",0.0651328178762078,0.00138137350923155,0.0624476218001975,0.0642265744948818,0.0651259129233781,0.0660364241677436,0.0680269754245369,1.00771410465366,530,0,1
"nr_int_1",-0.109013534071123,0.143536709967587,-0.37296370126566,-0.207623729391768,-0.116679463637046,-0.0112123686965361,0.176901284916825,1.05514251172982,33,1,0.769333333333333
"nr_int_2",0.138934408801283,0.237250386774392,-0.489840996128392,0.000753064643703696,0.154262536667612,0.3192002057434,0.503309027183202,1.14753282990196,18,1,0.752666666666667
"nr_int_3",-2.17698827335841,0.115532344034101,-2.40332663642787,-2.26194060481441,-2.17436050698417,-2.0919580622832,-1.96299901822859,1.06963583094778,27,0,1
"nr_int_4",-1.81005308967334,0.112437893607265,-2.05392432288972,-1.87281315172869,-1.80694633506072,-1.74274669976426,-1.58461856169207,1.02057886203229,202,0,1
"nr_int_5",-2.0167354578885,0.125559506899336,-2.25273961355652,-2.10835052368494,-2.02762657724063,-1.92657113498713,-1.76964371182876,1.25487602259304,10,0,1
"nr_int_6",-2.32639588206318,0.140247820515254,-2.60338009131721,-2.41259323668954,-2.33536938623629,-2.2457250356192,-2.02440203670072,1.06140834793418,792,0,1
"T1_imputed_total",263208.1,12240.8878387171,239288,254740,263390,271410,287143,1.00125472579943,787,0,1
"T2_imputed_total",1328623.04,26029.2867812129,1284906.25,1308967.5,1326780,1346062.5,1385004,1.16260441209645,15,0,1
"T3_imputed_total",2062118.56666667,13728.8997983088,2036164.5,2052745,2062045,2071335,2089262,0.999924527759679,1500,0,1
"T4_imputed_total",1840174.18,22576.7161622185,1795663.25,1825050,1840060,1855215,1883548.75,1.00136690555171,750,0,1
"T5_imputed_total",31942393.9760498,58855.9713306771,31829166.3931035,31904926.3053764,31940615.5008512,31980660.4419504,32061037.8788181,1.00062832213222,1165,0,1
"T6_imputed_total",32767321.290538,114721.35938629,32542892.369327,32688722.5567553,32769010.280737,32848711.1122419,32992613.6227138,0.999737486591348,1500,0,1
"deviance",117032.945552575,134.62778739804,116755.67552687,116942.601279951,117035.507207898,117131.391021091,117275.075245581,1.03199026546184,53,0,1
