"parameter","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"alpha1",0.389787604611138,0.102106745460481,0.190975649527125,0.323837684462875,0.386275241593196,0.45948017197776,0.594075169322952,1.06289790765776,30,0,1
"alpha2",-0.471176092817536,0.0485173751306823,-0.56748470018541,-0.504492428742092,-0.471291140119832,-0.437823896141519,-0.375316542764484,1.03389697556621,404,0,1
"alpha3",0.209762366449663,0.0394728466175078,0.134135998493509,0.183559020596296,0.208671203883599,0.235766955622057,0.288030802557426,1.00825189363806,193,0,1
"alpha4",-0.331875377953831,0.0708691134206019,-0.467609669537835,-0.378881342493638,-0.331145745386286,-0.286264902945227,-0.196114292298471,0.999919866030675,1500,0,1
"alpha5",10.1000796535248,0.096858278571496,9.91753918046122,10.0343379442921,10.102570945441,10.1674444850435,10.2866748309026,1.00935510532023,162,0,1
"alpha6",4.75739344313693,0.260676762003374,4.2427161351743,4.58251585398962,4.75227248056998,4.92934133723534,5.285787380855,0.999339026437938,1500,0,1
"beta1w",-0.00566315690221579,0.000302053565969706,-0.00622411680951034,-0.00588670196347897,-0.00566008731279056,-0.00544984740249344,-0.00504555348916965,1.13212999859431,19,0,1
"beta21",1.1487085605654,0.110852342342258,0.94133193615407,1.07187303179503,1.14863613197178,1.22477370845132,1.36338388607018,1.0479771931266,37,0,1
"beta31",-0.732740888165133,0.121709454911172,-0.974508399021952,-0.818354360619408,-0.731647588916839,-0.648353768595841,-0.496037196190083,1.0068545628404,231,0,1
"beta32",0.782577216603353,0.0686795128501854,0.647078663447516,0.736730734980837,0.782286764739038,0.830821093103871,0.910541894278265,0.999680350785213,1500,0,1
"beta41",0.78060897768935,0.163235991298645,0.478799421333138,0.668860814165526,0.777008771042887,0.888833660224073,1.12078595554542,1.0048786093567,373,0,1
"beta42",-0.616176191183907,0.0868914338905086,-0.786950426570943,-0.671362801026199,-0.616335445498039,-0.558360347419817,-0.447533752994207,1.0006591146439,1500,0,1
"beta43",1.06457334157035,0.0857284337475124,0.910517918354218,1.00400190652572,1.05925934690652,1.12220448634805,1.23630133208883,1.00411357670694,322,0,1
"beta51",1.98385910043926,0.180920442790806,1.62142940322755,1.85989113073057,1.98793770667575,2.10761012356573,2.33372761278261,1.02421454568202,79,0,1
"beta52",-1.51181063346671,0.113480744361261,-1.7339268642446,-1.58948029607586,-1.50984415721925,-1.43404537217518,-1.29438808800226,1.05494725785386,36,0,1
"beta53",0.965572826896547,0.104533332623356,0.762077275193182,0.893485311251823,0.963664781551982,1.03760853488835,1.17128282056612,1.00550099029561,253,0,1
"beta54",-1.16142018391496,0.117706835711219,-1.38192732293192,-1.24583840863591,-1.16161443885729,-1.08411143771357,-0.925028025969054,1.00179308329844,1500,0,1
"beta61",0.83641041557201,0.277901772768328,0.274147549376655,0.654443100372766,0.83452713501253,1.02800539785009,1.3530664481675,1.00548768755368,1500,0,0.998666666666667
"beta62",0.734274423320543,0.153354767875445,0.431658722385556,0.630781006804623,0.734550399690894,0.842350896108754,1.02501288610288,1.00628431965251,367,0,1
"beta63",-1.05761040246958,0.151820542240437,-1.35358793288793,-1.15440457486474,-1.05832357750906,-0.955006137299398,-0.766752323980252,1.00012215798607,1500,0,1
"beta64",0.856979839180786,0.180352968945747,0.493829046942332,0.73868017874788,0.860449274187051,0.977507140856214,1.20520077127106,1.00017199376543,1500,0,1
