"parameter","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"alpha1",0.1239859794163,0.1192940432433,-0.100624886718331,0.0428922465919544,0.122881169679871,0.207505788272493,0.365120586362805,1.01002276731763,287,1,0.846666666666667
"alpha2",-0.498012671033392,0.0508761157197691,-0.596713142120801,-0.53216154083552,-0.497356331288918,-0.462737975924971,-0.39558298528753,1.39727238268113,7,0,1
"alpha3",0.210999431453619,0.0395649933736918,0.134918790498248,0.184419841956367,0.210280103503964,0.23847039822066,0.288455649267284,1.00224708578733,623,0,1
"alpha4",-0.256380083662776,0.0645092461273363,-0.375694049628527,-0.302175511577938,-0.259024971906329,-0.211744531731826,-0.129651034195226,1.00147505502407,1411,0,1
"alpha5",10.0514359227028,0.102193982649125,9.85729905242554,9.97980724606617,10.0532509950907,10.1205736161308,10.2591033697982,1.0303768817538,55,0,1
"alpha6",5.26609069959815,0.253604368376316,4.77057492448038,5.08762438409158,5.26040914566381,5.43352553191832,5.76956348193101,1.00199471032197,570,0,1
"beta1w",-0.00489734311880221,0.000354376336829848,-0.00556460915292616,-0.00515888433518475,-0.00490430023835752,-0.00464547139407723,-0.00423090343426826,1.00771068958338,619,0,1
"beta21",1.30839777491635,0.131663074660345,1.05026583556448,1.21950129597323,1.30451728826034,1.398956643289,1.57916421011687,1.05414945674887,34,0,1
"beta31",-0.852795715070105,0.150700506158734,-1.14544674873805,-0.956848135020796,-0.849426281728612,-0.743923999654556,-0.574838069807229,1.01039785497617,145,0,1
"beta32",0.851122351228804,0.0736950630787603,0.708242154891594,0.801541927660704,0.848928648445826,0.899491470024972,1.00504900195315,1.00242698957225,520,0,1
"beta41",0.548796354969156,0.17623445140882,0.218343515009588,0.42534399743617,0.549491601120005,0.668238210802152,0.89242670671113,1.05250017031869,34,0,0.999333333333333
"beta42",-0.479887861033823,0.0857765880418081,-0.652416049066332,-0.535186597791338,-0.479102329840675,-0.424622558419221,-0.310877914668801,1.02590709105581,73,0,1
"beta43",1.11074320454391,0.0802732728641986,0.950599109061876,1.05824282166201,1.10840063544051,1.1641613982957,1.27425194575707,1.00926529560719,211,0,1
"beta51",2.35408328356742,0.190135134294828,1.96329641771828,2.23139971399827,2.36012755707217,2.48061535970616,2.71715652645797,1.00569227115029,1500,0,1
"beta52",-1.72331391495555,0.11010800832773,-1.93951785381994,-1.79832478539518,-1.7250732216125,-1.65106006613563,-1.50394817439671,1.07718097997836,25,0,1
"beta53",1.03695160812627,0.108249294281083,0.835827228737716,0.963109585242118,1.03564120247799,1.10909300172543,1.25886286845937,1.00483361035262,290,0,1
"beta54",-0.988463962660681,0.123744755213632,-1.23106216586306,-1.07521587384078,-0.991058697339535,-0.904140575562047,-0.752069152628793,1.0017044279761,1500,0,1
"beta61",0.789652353182113,0.29265465294776,0.224984877984653,0.600435457513615,0.776807774667231,0.988658490749554,1.39515585320037,1.01852052757038,110,0,0.995333333333333
"beta62",0.287078480128316,0.15461866794278,-0.0129266915900276,0.183207891636118,0.284582928538589,0.390873038770476,0.581695248496043,1.0419047147218,42,1,0.968666666666667
"beta63",-1.21680582973475,0.157604343692644,-1.52670739218026,-1.32454212176204,-1.21649175267944,-1.10615715903611,-0.921084017366225,1.00146587594646,1002,0,1
"beta64",0.717101548167797,0.18171595738484,0.361853591828757,0.591227248106894,0.718658273014304,0.837376223551753,1.0684843115919,1.00146106034751,1500,0,1
"beta65",0.49885706739067,0.0226194881125567,0.455141888406243,0.483448951028571,0.499607560700205,0.51361913290456,0.543290524006831,0.999402740822436,1500,0,1
"sigma5",3.00968719037618,0.0358249380810889,2.9420707551788,2.98392664234655,3.00922238061466,3.03472682600848,3.08043248726407,1.00697450334529,207,0,1
"sigma6",4.00091063029257,0.0420773552559049,3.92012748652397,3.97228903707273,4.00037743754024,4.02645247845097,4.08922520544866,1.00798841160215,214,0,1
"tau5",0.110443878468022,0.00262783806966374,0.105384468647545,0.108582739017985,0.110431109031667,0.112311367658103,0.115529738133937,1.00686368176254,209,0,1
"tau6",0.062492217254697,0.00131080230414322,0.0598023076421759,0.0616814884082483,0.0624882067464454,0.0633750503599343,0.0650728185763656,1.00763349594164,218,0,1
"nr_int_1",-0.124583892457398,0.131803257062928,-0.365957378358724,-0.220028570007416,-0.115729688038087,-0.030123026685999,0.121750154679293,1.20840377618771,11,1,0.83
"nr_int_2",0.24490776561016,0.301562166254882,-0.364588803110695,0.052363501641372,0.245626580609885,0.465928366712554,0.776129151039474,1.66498738668279,5,1,0.804666666666667
"nr_int_3",-2.17420709755649,0.132465253141352,-2.39928263354941,-2.26551498085407,-2.18116087093165,-2.0983616571429,-1.86762888036854,1.02538119294622,143,0,1
"nr_int_4",-1.58740160690583,0.0988921303897334,-1.76707056648452,-1.66029561579762,-1.59114630538919,-1.52364718402392,-1.38312209251335,1.05559390094518,83,0,1
"nr_int_5",-1.98842233228326,0.115584943711889,-2.21717019021296,-2.06555783339673,-1.98881158089947,-1.90780672465693,-1.76490258560823,1.21206913481971,12,0,1
"nr_int_6",-2.47146789392359,0.117524815696454,-2.74772505765526,-2.54487144866591,-2.4704283310139,-2.3945999391266,-2.25829367838398,1.04201791168482,149,0,1
"T1_imputed_total",251321.9,10853.6479077437,229732.75,244267.5,251890,258905,271322,1.00145710900873,1500,0,1
"T2_imputed_total",1366367.79333333,29596.4434897526,1311348.75,1345097.5,1366385,1386765,1421564,1.6242630194661,5,0,1
"T3_imputed_total",2075500.59333333,13432.0763608932,2049568,2066347.5,2075685,2084525,2101745,1.00103284219298,1500,0,1
"T4_imputed_total",1915752.28,22875.1015600482,1871173.25,1900020,1915395,1931250,1959391.25,0.99997029684975,1500,0,1
"T5_imputed_total",32481672.5010245,68791.5106300949,32348066.6698014,32435462.7322474,32480325.6150394,32525982.3107584,32619076.3014048,1.00366535410702,1500,0,1
"T6_imputed_total",33589632.9050278,125753.12029168,33342884.7857311,33505856.4070013,33590824.0217753,33674497.6075931,33838503.7387989,1.00192303629444,624,0,1
"deviance",116664.632043476,144.913950791974,116363.787333496,116565.8646098,116672.090968717,116765.4316553,116935.52929702,1.19434530602836,12,0,1
